figure,panel,file,columns,filter,display_transform,aggregation_or_display,rows,series
S4,a,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;xi_bias,training_months == 12,xi_bias * 1,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,b,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;xi_bias,training_months == 24,xi_bias * 1,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,c,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;xi_bias,training_months == 60,xi_bias * 1,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,d,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;sigma_relative_bias,training_months == 12,sigma_relative_bias * 100,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,e,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;sigma_relative_bias,training_months == 24,sigma_relative_bias * 100,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,f,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;sigma_relative_bias,training_months == 60,sigma_relative_bias * 100,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,g,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;q99_relative_error,training_months == 12,q99_relative_error * 100,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,h,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;q99_relative_error,training_months == 24,q99_relative_error * 100,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S4,i,supplementary/figure_s4_parameter_recovery.csv,replication_id;training_months;q99_relative_error,training_months == 60,q99_relative_error * 100,All 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,200,TAIL recovery
S5,a,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 12; cap == UNCAPPED,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S5,b,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 12; cap == DISTANT,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S5,c,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 12; cap == Q999,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S5,d,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 12; cap == BINDING,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S5,e,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 24; cap == UNCAPPED,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S5,f,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 24; cap == DISTANT,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S5,g,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 24; cap == Q999,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S5,h,supplementary/figure_s5_clipping_sensitivity.csv,replication_id;history;cap;baseline;delta,history == 24; cap == BINDING,delta is used directly; already represents paired normalized-regret difference multiplied by 1000,Separate ECDF for each baseline: sort delta ascending; y = rank / 200 for ranks 1..200; step where=post,400,KDE-MC-JOINT -> TAIL - KDE; EMP-JOINT -> TAIL - EMP
S6,a,supplementary/figure_s6_physical_misspecification.csv,replication_id;physical_scenario_id;training_months;method_id;regret_scaled,physical_scenario_id == T4_HIGH_AMP; training_months == 12,regret_scaled is used directly (normalized regret multiplied by 1000); symlog y-axis linthresh=0.1,Each available method: all 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,800,TAIL-JOINT -> TAIL; KDE-MC-JOINT -> KDE; EMP-JOINT -> EMP; DIAGNOSTIC-GATE -> GATE
S6,b,supplementary/figure_s6_physical_misspecification.csv,replication_id;physical_scenario_id;training_months;method_id;regret_scaled,physical_scenario_id == T4_HIGH_AMP; training_months == 24,regret_scaled is used directly (normalized regret multiplied by 1000); symlog y-axis linthresh=0.1,Each available method: all 200 points; median and interquartile box; whiskers at last data values within 1.5 IQR; deterministic horizontal jitter only,800,TAIL-JOINT -> TAIL; KDE-MC-JOINT -> KDE; EMP-JOINT -> EMP; DIAGNOSTIC-GATE -> GATE
