history,cap_index,cap,utilization,method,n,mean,mcse
12,0,UNCAPPED,0.62,GATE,200,3.2,0.2778235584831516
12,0,UNCAPPED,0.62,EMP,200,3.28,0.2789211087827938
12,0,UNCAPPED,0.62,KDE,200,3.28,0.2789211087827938
12,0,UNCAPPED,0.62,TAIL,200,3.2,0.2778235584831516
12,0,UNCAPPED,0.63,GATE,200,3.9200000000000497,0.2834957658347531
12,0,UNCAPPED,0.63,EMP,200,4.080000000000052,0.2834957658347531
12,0,UNCAPPED,0.63,KDE,200,4.120000000000052,0.283424854663821
12,0,UNCAPPED,0.63,TAIL,200,3.9200000000000497,0.2834957658347531
12,0,UNCAPPED,0.6399999999999999,GATE,200,9.239999999999926,0.827851854782802
12,0,UNCAPPED,0.6399999999999999,EMP,200,9.239999999999922,0.827851854782802
12,0,UNCAPPED,0.6399999999999999,KDE,200,8.999999999999925,0.8236455304310124
12,0,UNCAPPED,0.6399999999999999,TAIL,200,9.59999999999992,0.8334706754494482
12,1,DISTANT,0.62,GATE,200,3.051704583973575,0.2792803156428542
12,1,DISTANT,0.62,EMP,200,3.4179091340504044,0.2847235081569199
12,1,DISTANT,0.62,KDE,200,3.377219739597423,0.2842409627689506
12,1,DISTANT,0.62,TAIL,200,3.0110151895205943,0.2785196372509018
12,1,DISTANT,0.63,GATE,200,3.733451196756607,0.2782382206572206
12,1,DISTANT,0.63,EMP,200,4.047847087009796,0.2784612796934728
12,1,DISTANT,0.63,KDE,200,3.969248114446499,0.278572742233589
12,1,DISTANT,0.63,TAIL,200,3.812050169319905,0.2784612796934728
12,1,DISTANT,0.6399999999999999,GATE,200,8.827339159204461,0.8165310188633613
12,1,DISTANT,0.6399999999999999,EMP,200,8.58876242517191,0.8117883009981572
12,1,DISTANT,0.6399999999999999,KDE,200,8.946627526220738,0.8187610860447596
12,1,DISTANT,0.6399999999999999,TAIL,200,9.185204260253292,0.8229424657369744
12,2,Q999,0.62,GATE,200,3.310523296281185,0.2904351993915115
12,2,Q999,0.62,EMP,200,3.478144729004283,0.2927352327212729
12,2,Q999,0.62,KDE,200,3.5200500871850577,0.2932321985177213
12,2,Q999,0.62,TAIL,200,3.268617938100411,0.2897812193730817
12,2,Q999,0.63,GATE,200,3.7302632030951695,0.2697739345731252
12,2,Q999,0.63,EMP,200,3.95864666450916,0.269611956813357
12,2,Q999,0.63,KDE,200,3.95864666450916,0.269611956813357
12,2,Q999,0.63,TAIL,200,3.768327113330835,0.269814413819294
12,2,Q999,0.6399999999999999,GATE,200,9.088554756211892,0.8142832156087808
12,2,Q999,0.6399999999999999,EMP,200,8.734455220255583,0.8079392319230254
12,2,Q999,0.6399999999999999,KDE,200,8.616422041603482,0.8056396928882859
12,2,Q999,0.6399999999999999,TAIL,200,9.206587934863997,0.816215393953588
12,3,BINDING,0.62,GATE,200,3.573313574332875,0.3270159727030846
12,3,BINDING,0.62,EMP,200,3.9544670222617135,0.3328245125618396
12,3,BINDING,0.62,KDE,200,3.9544670222617135,0.3328245125618396
12,3,BINDING,0.62,TAIL,200,3.7162461173061896,0.3294659552622165
12,3,BINDING,0.63,GATE,200,3.1910200509431967,0.2284788922609818
12,3,BINDING,0.63,EMP,200,3.319950154011609,0.2283874732747229
12,3,BINDING,0.63,KDE,200,3.384415205545815,0.2282045254345895
12,3,BINDING,0.63,TAIL,200,3.062089947874785,0.2282045254345895
12,3,BINDING,0.6399999999999999,GATE,200,8.632410904448832,0.7734153007029554
12,3,BINDING,0.6399999999999999,EMP,200,8.408192439398213,0.7694855690793584
12,3,BINDING,0.6399999999999999,KDE,200,8.520301671923521,0.7714938706058888
12,3,BINDING,0.6399999999999999,TAIL,200,8.74452013697414,0.7752505052938345
24,0,UNCAPPED,0.62,GATE,200,3.12,0.2766054098600009
24,0,UNCAPPED,0.62,EMP,200,3.24,0.2783873156008319
24,0,UNCAPPED,0.62,KDE,200,3.2,0.2778235584831517
24,0,UNCAPPED,0.62,TAIL,200,3.12,0.2766054098600009
24,0,UNCAPPED,0.63,GATE,200,3.6000000000000454,0.2821311573537222
24,0,UNCAPPED,0.63,EMP,200,3.5200000000000444,0.2815035010537696
24,0,UNCAPPED,0.63,KDE,200,3.5200000000000444,0.2815035010537696
24,0,UNCAPPED,0.63,TAIL,200,3.6000000000000454,0.2821311573537222
24,0,UNCAPPED,0.6399999999999999,GATE,200,7.799999999999935,0.7968531071482678
24,0,UNCAPPED,0.6399999999999999,EMP,200,6.719999999999945,0.7638884919546136
24,0,UNCAPPED,0.6399999999999999,KDE,200,6.839999999999943,0.7679981155755712
24,0,UNCAPPED,0.6399999999999999,TAIL,200,7.799999999999935,0.7968531071482678
24,1,DISTANT,0.62,GATE,200,3.3365303451444426,0.283728275413148
24,1,DISTANT,0.62,EMP,200,3.2551515562384803,0.2826118089862948
24,1,DISTANT,0.62,KDE,200,3.2551515562384803,0.2826118089862948
24,1,DISTANT,0.62,TAIL,200,3.3365303451444426,0.283728275413148
24,1,DISTANT,0.63,GATE,200,3.576253251630013,0.2774561018348493
24,1,DISTANT,0.63,EMP,200,3.4976542790667167,0.276896092984922
24,1,DISTANT,0.63,KDE,200,3.379755820221771,0.2758430120685454
24,1,DISTANT,0.63,TAIL,200,3.576253251630013,0.2774561018348493
24,1,DISTANT,0.6399999999999999,GATE,200,7.276590387992867,0.7786528415766097
24,1,DISTANT,0.6399999999999999,EMP,200,6.918725286944038,0.7674140112455983
24,1,DISTANT,0.6399999999999999,KDE,200,6.560860185895208,0.7551563889433958
24,1,DISTANT,0.6399999999999999,TAIL,200,7.276590387992867,0.7786528415766097
24,2,Q999,0.62,GATE,200,3.226712579919637,0.2890952374607676
24,2,Q999,0.62,EMP,200,3.5200500871850577,0.2932321985177213
24,2,Q999,0.62,KDE,200,3.3943340126427346,0.2916480043309293
24,2,Q999,0.62,TAIL,200,3.226712579919637,0.2890952374607676
24,2,Q999,0.63,GATE,200,3.27349628026719,0.267170506384343
24,2,Q999,0.63,EMP,200,3.311560190502856,0.2675381442858671
24,2,Q999,0.63,KDE,200,3.50187974168118,0.2689630702966075
24,2,Q999,0.63,TAIL,200,3.27349628026719,0.267170506384343
24,2,Q999,0.6399999999999999,GATE,200,6.609858004517739,0.7513682236763735
24,2,Q999,0.6399999999999999,EMP,200,7.081990719126151,0.7668619820618723
24,2,Q999,0.6399999999999999,KDE,200,6.4918248258656375,0.7472104044669372
24,2,Q999,0.6399999999999999,TAIL,200,6.609858004517739,0.7513682236763735
24,3,BINDING,0.62,GATE,200,3.5733135743328743,0.3270159727030846
24,3,BINDING,0.62,EMP,200,3.906822841270609,0.3322241947271779
24,3,BINDING,0.62,KDE,200,3.71624611730619,0.3294659552622165
24,3,BINDING,0.62,TAIL,200,3.525669393341769,0.3261252762582387
24,3,BINDING,0.63,GATE,200,3.062089947874785,0.2282045254345895
24,3,BINDING,0.63,EMP,200,2.7397646902037547,0.225905176853033
24,3,BINDING,0.63,KDE,200,2.868694793272167,0.2271037434938263
24,3,BINDING,0.63,TAIL,200,3.094322473641888,0.2283074516333585
24,3,BINDING,0.6399999999999999,GATE,200,6.390226253942642,0.7174973276505161
24,3,BINDING,0.6399999999999999,EMP,200,6.502335486467951,0.7212287164445313
24,3,BINDING,0.6399999999999999,KDE,200,6.72655395151857,0.7283740829787672
24,3,BINDING,0.6399999999999999,TAIL,200,6.390226253942642,0.7174973276505161
