cell_id,alpha,utilization,oracle_mode,method_id,mean_regret,p95_regret,accuracy,mean_cny
A105_U400,1.05,0.4,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A105_U400,1.05,0.4,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U400,1.05,0.4,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A105_U400,1.05,0.4,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A105_U400,1.05,0.4,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A105_U420,1.05,0.42,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A105_U420,1.05,0.42,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U420,1.05,0.42,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A105_U420,1.05,0.42,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A105_U420,1.05,0.42,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A105_U440,1.05,0.44,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A105_U440,1.05,0.44,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U440,1.05,0.44,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A105_U440,1.05,0.44,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A105_U440,1.05,0.44,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A105_U460,1.05,0.46,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A105_U460,1.05,0.46,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U460,1.05,0.46,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A105_U460,1.05,0.46,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A105_U460,1.05,0.46,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A105_U480,1.05,0.48,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A105_U480,1.05,0.48,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U480,1.05,0.48,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A105_U480,1.05,0.48,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A105_U480,1.05,0.48,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A105_U500,1.05,0.5,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A105_U500,1.05,0.5,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U500,1.05,0.5,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A105_U500,1.05,0.5,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A105_U500,1.05,0.5,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A105_U520,1.05,0.52,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A105_U520,1.05,0.52,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U520,1.05,0.52,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A105_U520,1.05,0.52,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A105_U520,1.05,0.52,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A105_U540,1.05,0.54,actual_maximum_demand,EMP,0.0001574074074074073,0.0,0.999,840.0004384401925
A105_U540,1.05,0.54,actual_maximum_demand,EVENT-EMP,0.0001574074074074073,0.0,0.999,840.0004384401925
A105_U540,1.05,0.54,actual_maximum_demand,GEV,0.0001574074074074073,0.0,0.999,840.0004384401925
A105_U540,1.05,0.54,actual_maximum_demand,KDE,0.0003148148148148146,0.0,0.998,1680.000876880385
