metric,oracle_mode,contrast,estimate,cells
regret_cny_per_month,actual_maximum_demand,TAIL-minus-EVENT-EMP,-3769.4402967371534,39
regret_cny_per_month,capacity,TAIL-minus-EVENT-EMP,-2357.2850487406795,28
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-EVENT-EMP,-4660.8270424949842,9
regret_cny_per_month,actual_maximum_demand,TAIL-minus-GEV,-4561.5708445325563,39
regret_cny_per_month,capacity,TAIL-minus-GEV,-1126.6590993452737,28
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-GEV,-7767.1395073286367,9
regret_cny_per_month,actual_maximum_demand,TAIL-minus-KDE,1044.0139790111698,39
regret_cny_per_month,capacity,TAIL-minus-KDE,3793.5463757637553,28
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-KDE,-18135.695746892325,9
regret_cny_per_month,actual_maximum_demand,TAIL-minus-EMP,-7639.7150856725038,39
regret_cny_per_month,capacity,TAIL-minus-EMP,-3130.3865966537305,28
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-EMP,-9019.9405935592476,9
regret_cny_per_month,actual_maximum_demand,GEV-minus-KDE,5605.5848235437261,39
regret_cny_per_month,capacity,GEV-minus-KDE,4920.2054751090291,28
regret_cny_per_month,contracted_maximum_demand,GEV-minus-KDE,-10368.556239563688,9
regret_cny_per_month,actual_maximum_demand,GEV-minus-EMP,-3078.1442411399476,39
regret_cny_per_month,capacity,GEV-minus-EMP,-2003.7274973084568,28
regret_cny_per_month,contracted_maximum_demand,GEV-minus-EMP,-1252.801086230611,9
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-EVENT-EMP,-0.00070635418427659287,39
regret_over_oracle_value,capacity,TAIL-minus-EVENT-EMP,-0.00047189679963654347,28
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-EVENT-EMP,-0.00088304586187475543,9
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-GEV,-0.00085479126853361649,39
regret_over_oracle_value,capacity,TAIL-minus-GEV,-0.00022587383913107335,28
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-GEV,-0.0014716981734710774,9
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-KDE,0.0001956374380451464,39
regret_over_oracle_value,capacity,TAIL-minus-KDE,0.00076768459334071535,28
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-KDE,-0.0034361923777676915,9
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-EMP,-0.0014316037110647137,39
regret_over_oracle_value,capacity,TAIL-minus-EMP,-0.00062685045700575657,28
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-EMP,-0.0017092836612174565,9
regret_over_oracle_value,actual_maximum_demand,GEV-minus-KDE,0.0010504287065787629,39
regret_over_oracle_value,capacity,GEV-minus-KDE,0.0009935584324717887,28
regret_over_oracle_value,contracted_maximum_demand,GEV-minus-KDE,-0.0019644942042966141,9
regret_over_oracle_value,actual_maximum_demand,GEV-minus-EMP,-0.00057681244253109717,39
regret_over_oracle_value,capacity,GEV-minus-EMP,-0.00040097661787468321,28
regret_over_oracle_value,contracted_maximum_demand,GEV-minus-EMP,-0.0002375854877463791,9
