cell_id,method_id,mean,mcse,alpha,utilization,oracle_mode,oracle_margin_cny,oracle_best_value_cny
STRESS_ACTUAL_CLEAR,EMP,2867.844952249023,952.113002784367,1.2,0.4,actual_maximum_demand,318649.43913878035,5336473.373620048
STRESS_ACTUAL_CLEAR,EVENT-EMP,637.2988782775607,450.4127572777925,1.2,0.4,actual_maximum_demand,318649.43913878035,5336473.373620048
STRESS_ACTUAL_CLEAR,GEV,1911.8966348326821,778.5728079349591,1.2,0.4,actual_maximum_demand,318649.43913878035,5336473.373620048
STRESS_ACTUAL_CLEAR,KDE,637.2988782775607,450.4127572777923,1.2,0.4,actual_maximum_demand,318649.43913878035,5336473.373620048
STRESS_ACTUAL_CLEAR,TAIL,0.0,0.0,1.2,0.4,actual_maximum_demand,318649.43913878035,5336473.373620048
STRESS_ACTUAL_NEAR,EMP,3314.3118745256443,195.62093357498347,1.2,0.45,actual_maximum_demand,4962.114262098448,5336473.373620048
STRESS_ACTUAL_NEAR,EVENT-EMP,3635.104452327113,373.1298859235023,1.2,0.45,actual_maximum_demand,4962.114262098448,5336473.373620048
STRESS_ACTUAL_NEAR,GEV,2876.2344343872037,184.42803249079236,1.2,0.45,actual_maximum_demand,4962.114262098448,5336473.373620048
STRESS_ACTUAL_NEAR,KDE,1483.850935653848,81.01357236058857,1.2,0.45,actual_maximum_demand,4962.114262098448,5336473.373620048
STRESS_ACTUAL_NEAR,TAIL,2386.568035130339,82.95127724874474,1.2,0.45,actual_maximum_demand,4962.114262098448,5336473.373620048
STRESS_CAPACITY_CLEAR,EMP,39067.16828874449,4517.448249944837,1.2,0.6999999999999998,capacity,511356.7335039172,4764708.369303615
STRESS_CAPACITY_CLEAR,EVENT-EMP,35208.95089773252,4230.632094302033,1.2,0.6999999999999998,capacity,511356.7335039172,4764708.369303615
STRESS_CAPACITY_CLEAR,GEV,35750.760694274235,4296.274757657609,1.2,0.6999999999999998,capacity,511356.7335039172,4764708.369303615
STRESS_CAPACITY_CLEAR,KDE,16840.999055247543,2982.039078155765,1.2,0.6999999999999998,capacity,511356.7335039172,4764708.369303615
STRESS_CAPACITY_CLEAR,TAIL,32441.088340284994,4102.8253566870035,1.2,0.6999999999999998,capacity,511356.7335039172,4764708.369303615
STRESS_CAPACITY_NEAR,EMP,27126.02468049957,1060.474957172857,1.2,0.635,capacity,23630.679953153245,5252434.422854379
STRESS_CAPACITY_NEAR,EVENT-EMP,21297.50194373932,746.2100706214665,1.2,0.635,capacity,23630.679953153245,5252434.422854379
STRESS_CAPACITY_NEAR,GEV,22711.221420509653,843.2555425353515,1.2,0.635,capacity,23630.679953153245,5252434.422854379
STRESS_CAPACITY_NEAR,KDE,21338.812017406846,905.8679801488064,1.2,0.635,capacity,23630.679953153245,5252434.422854379
STRESS_CAPACITY_NEAR,TAIL,19125.9376191932,655.275834082664,1.2,0.635,capacity,23630.679953153245,5252434.422854379
STRESS_CONTRACT_CLEAR,EMP,37724.19173107603,939.6468349649642,1.2,0.625,contracted_maximum_demand,60408.27081251609,5276065.102807532
STRESS_CONTRACT_CLEAR,EVENT-EMP,31822.885152636125,847.9219283164988,1.2,0.625,contracted_maximum_demand,60408.27081251609,5276065.102807532
STRESS_CONTRACT_CLEAR,GEV,34231.80324030432,856.1911175840779,1.2,0.625,contracted_maximum_demand,60408.27081251609,5276065.102807532
STRESS_CONTRACT_CLEAR,KDE,41090.643252498565,817.7924449622312,1.2,0.625,contracted_maximum_demand,60408.27081251609,5276065.102807532
STRESS_CONTRACT_CLEAR,TAIL,28848.38502201013,853.1264803189229,1.2,0.625,contracted_maximum_demand,60408.27081251609,5276065.102807532
STRESS_CONTRACT_NEAR_HIGH,EMP,22504.15581879425,764.782078667196,1.2,0.63,contracted_maximum_demand,18055.307529818267,5276065.102807532
STRESS_CONTRACT_NEAR_HIGH,EVENT-EMP,16357.504143386699,479.56661808647834,1.2,0.63,contracted_maximum_demand,18055.307529818267,5276065.102807532
STRESS_CONTRACT_NEAR_HIGH,GEV,18569.70344203406,558.6690163870657,1.2,0.63,contracted_maximum_demand,18055.307529818267,5276065.102807532
STRESS_CONTRACT_NEAR_HIGH,KDE,21693.306201767966,604.4445096921094,1.2,0.63,contracted_maximum_demand,18055.307529818267,5276065.102807532
STRESS_CONTRACT_NEAR_HIGH,TAIL,13599.746391220726,384.2715880532086,1.2,0.63,contracted_maximum_demand,18055.307529818267,5276065.102807532
STRESS_CONTRACT_NEAR_LOW,EMP,6233.31104770948,284.7791231450027,1.2,0.455,contracted_maximum_demand,11861.451992777176,5324611.921627271
STRESS_CONTRACT_NEAR_LOW,EVENT-EMP,6532.998138346442,433.8527599210633,1.2,0.455,contracted_maximum_demand,11861.451992777176,5324611.921627271
STRESS_CONTRACT_NEAR_LOW,GEV,6349.254600387774,266.651450978721,1.2,0.455,contracted_maximum_demand,11861.451992777176,5324611.921627271
STRESS_CONTRACT_NEAR_LOW,KDE,8156.4328847882625,181.86867263814565,1.2,0.455,contracted_maximum_demand,11861.451992777176,5324611.921627271
STRESS_CONTRACT_NEAR_LOW,TAIL,5240.827082077543,189.54258539661794,1.2,0.455,contracted_maximum_demand,11861.451992777176,5324611.921627271
