alpha,utilization,contrast,mean_difference_cny
1.05,0.4,TAIL-minus-KDE,0.0
1.05,0.42,TAIL-minus-KDE,0.0
1.05,0.44,TAIL-minus-KDE,0.0
1.05,0.46,TAIL-minus-KDE,0.0
1.05,0.48,TAIL-minus-KDE,0.0
1.05,0.5,TAIL-minus-KDE,0.0
1.05,0.52,TAIL-minus-KDE,0.0
1.05,0.54,TAIL-minus-KDE,-1680.000876880385
1.05,0.56,TAIL-minus-KDE,-3097.0604400473458
1.05,0.58,TAIL-minus-KDE,-8694.771272536138
1.05,0.6,TAIL-minus-KDE,-4002.355030215047
1.05,0.62,TAIL-minus-KDE,-1678.4069481546885
1.05,0.64,TAIL-minus-KDE,0.0
1.05,0.66,TAIL-minus-KDE,-282.99480011621563
1.05,0.68,TAIL-minus-KDE,431.6265228663269
1.05,0.7,TAIL-minus-KDE,-571.7650043164333
1.05,0.72,TAIL-minus-KDE,0.0
1.05,0.74,TAIL-minus-KDE,0.0
1.05,0.76,TAIL-minus-KDE,0.0
1.05,0.4,GEV-minus-KDE,0.0
1.05,0.42,GEV-minus-KDE,0.0
1.05,0.44,GEV-minus-KDE,0.0
1.05,0.46,GEV-minus-KDE,0.0
1.05,0.48,GEV-minus-KDE,0.0
1.05,0.5,GEV-minus-KDE,0.0
1.05,0.52,GEV-minus-KDE,0.0
1.05,0.54,GEV-minus-KDE,-840.0004384401925
1.05,0.56,GEV-minus-KDE,-619.4120880094688
1.05,0.58,GEV-minus-KDE,-1656.1469090545033
1.05,0.6,GEV-minus-KDE,0.0
1.05,0.62,GEV-minus-KDE,-43.03607559371085
1.05,0.64,GEV-minus-KDE,0.0
1.05,0.66,GEV-minus-KDE,0.0
1.05,0.68,GEV-minus-KDE,0.0
1.05,0.7,GEV-minus-KDE,0.0
1.05,0.72,GEV-minus-KDE,0.0
1.05,0.74,GEV-minus-KDE,0.0
1.05,0.76,GEV-minus-KDE,0.0
1.1,0.4,TAIL-minus-KDE,0.0
1.1,0.42,TAIL-minus-KDE,0.0
1.1,0.44,TAIL-minus-KDE,-345.9865327111157
1.1,0.46,TAIL-minus-KDE,-3.0996430654693086
1.1,0.48,TAIL-minus-KDE,368.91616699968927
1.1,0.5,TAIL-minus-KDE,368.91616699968927
1.1,0.52,TAIL-minus-KDE,368.91616699968927
1.1,0.54,TAIL-minus-KDE,-1311.0847098806958
1.1,0.56,TAIL-minus-KDE,-2728.144273047657
1.1,0.58,TAIL-minus-KDE,-8325.85510553645
1.1,0.6,TAIL-minus-KDE,-3633.438863215357
1.1,0.62,TAIL-minus-KDE,-1309.4907811550001
1.1,0.64,TAIL-minus-KDE,368.9161669996902
1.1,0.66,TAIL-minus-KDE,425.71324758211995
1.1,0.68,TAIL-minus-KDE,799.9667846651218
1.1,0.7,TAIL-minus-KDE,-571.7650043164333
1.1,0.72,TAIL-minus-KDE,0.0
1.1,0.74,TAIL-minus-KDE,0.0
1.1,0.76,TAIL-minus-KDE,0.0
1.1,0.4,GEV-minus-KDE,0.0
1.1,0.42,GEV-minus-KDE,402.29260790946887
1.1,0.44,GEV-minus-KDE,345.9865327111157
1.1,0.46,GEV-minus-KDE,2020.6679084705584
1.1,0.48,GEV-minus-KDE,2058.5827231474013
1.1,0.5,GEV-minus-KDE,2898.6706754560073
1.1,0.52,GEV-minus-KDE,2898.6706754560073
1.1,0.54,GEV-minus-KDE,2058.6702370158146
1.1,0.56,GEV-minus-KDE,2279.2585874465376
1.1,0.58,GEV-minus-KDE,1242.5237664015112
1.1,0.6,GEV-minus-KDE,2898.670675456
1.1,0.62,GEV-minus-KDE,2855.6345998622965
1.1,0.64,GEV-minus-KDE,2898.6706754560073
1.1,0.66,GEV-minus-KDE,2171.0742800011976
1.1,0.68,GEV-minus-KDE,1632.356336490533
1.1,0.7,GEV-minus-KDE,439.6239690520001
1.1,0.72,GEV-minus-KDE,0.0
1.1,0.74,GEV-minus-KDE,0.0
1.1,0.76,GEV-minus-KDE,0.0
1.15,0.4,TAIL-minus-KDE,0.0
1.15,0.42,TAIL-minus-KDE,-1331.984672929654
1.15,0.44,TAIL-minus-KDE,-2503.41891144749
1.15,0.46,TAIL-minus-KDE,3980.9922099327305
1.15,0.48,TAIL-minus-KDE,10760.642827490636
1.15,0.5,TAIL-minus-KDE,12846.673340902245
1.15,0.52,TAIL-minus-KDE,13144.703316543098
1.15,0.54,TAIL-minus-KDE,11464.702439662713
1.15,0.56,TAIL-minus-KDE,10047.642876495756
1.15,0.58,TAIL-minus-KDE,4449.932044006957
1.15,0.6,TAIL-minus-KDE,9142.348286328066
