alpha,utilization,oracle_mode,oracle_margin_cny,oracle_best_value_cny,capacity,actual_maximum_demand,contracted_maximum_demand
1.2,0.38,actual_maximum_demand,521406.16864782665,5336473.373620048,8777094.364506658,5336473.373620048,5857879.542267875
1.2,0.3805,actual_maximum_demand,515773.9764073882,5336473.373620048,8765560.7319646,5336473.373620048,5852247.350027436
1.2,0.381,actual_maximum_demand,510171.12772544846,5336473.373620048,8754057.371423965,5336473.373620048,5846644.501345497
1.2,0.3815,actual_maximum_demand,504597.58318871167,5336473.373620048,8742584.163859844,5336473.373620048,5841070.95680876
1.2,0.382,actual_maximum_demand,499053.30376798846,5336473.373620048,8731140.990870498,5336473.373620048,5835526.677388037
1.2,0.3825,actual_maximum_demand,493538.2508140337,5336473.373620048,8719727.734673282,5336473.373620048,5830011.624434082
1.2,0.383,actual_maximum_demand,488052.386053388,5336473.373620048,8708344.278100602,5336473.373620048,5824525.759673436
1.2,0.3835,actual_maximum_demand,482595.6715842299,5336473.373620048,8696990.504595907,5336473.373620048,5819069.045204278
1.2,0.384,actual_maximum_demand,477168.0698722368,5336473.373620048,8685666.298209716,5336473.373620048,5813641.443492285
1.2,0.3845,actual_maximum_demand,471769.54374644253,5336473.373620048,8674371.543595657,5336473.373620048,5808242.917366491
1.2,0.385,actual_maximum_demand,466400.05639511626,5336473.373620048,8663106.126006572,5336473.373620048,5802873.430015164
1.2,0.3855,actual_maximum_demand,461059.571361633,5336473.373620048,8651869.93129061,5336473.373620048,5797532.944981681
1.2,0.386,actual_maximum_demand,455748.0525403572,5336473.373620048,8640662.845887383,5336473.373620048,5792221.426160405
1.2,0.3865,actual_maximum_demand,450465.4641725309,5336473.373620048,8629484.756824141,5336473.373620048,5786938.837792579
1.2,0.387,actual_maximum_demand,445211.7708421722,5336473.373620048,8618335.551711965,5336473.373620048,5781685.14446222
1.2,0.3875,actual_maximum_demand,439986.93747196347,5336473.373620048,8607215.118742013,5336473.373620048,5776460.311092012
1.2,0.388,actual_maximum_demand,434790.92931917123,5336473.373620048,8596123.34668178,5336473.373620048,5771264.302939219
1.2,0.3885,actual_maximum_demand,429623.71197154187,5336473.373620048,8585060.124871379,5336473.373620048,5766097.08559159
1.2,0.389,actual_maximum_demand,424485.2513432205,5336473.373620048,8574025.343219873,5336473.373620048,5760958.624963269
1.2,0.3895,actual_maximum_demand,419375.51367067266,5336473.373620048,8563018.89220162,5336473.373620048,5755848.887290721
1.2,0.39,actual_maximum_demand,414294.46550860256,5336473.373620048,8552040.662852641,5336473.373620048,5750767.839128651
1.2,0.3905,actual_maximum_demand,409242.073725882,5336473.373620048,8541090.546767043,5336473.373620048,5745715.44734593
1.2,0.391,actual_maximum_demand,404218.30550148804,5336473.373620048,8530168.436093427,5336473.373620048,5740691.679121536
1.2,0.3915,actual_maximum_demand,399223.1283204267,5336473.373620048,8519274.223531367,5336473.373620048,5735696.501940475
1.2,0.392,actual_maximum_demand,394256.5099696815,5336473.373620048,8508407.802327882,5336473.373620048,5730729.88358973
1.2,0.3925,actual_maximum_demand,389318.41853415687,5336473.373620048,8497569.066273963,5336473.373620048,5725791.792154205
1.2,0.393,actual_maximum_demand,384408.8223926136,5336473.373620048,8486757.909701096,5336473.373620048,5720882.196012662
1.2,0.3935,actual_maximum_demand,379527.69021363556,5336473.373620048,8475974.227477841,5336473.373620048,5716001.063833684
1.2,0.394,actual_maximum_demand,374674.9909515707,5336473.373620048,8465217.915006422,5336473.373620048,5711148.364571619
1.2,0.3945,actual_maximum_demand,369850.6938424874,5336473.373620048,8454488.868219342,5336473.373620048,5706324.067462536
1.2,0.395,actual_maximum_demand,365054.7684001401,5336473.373620048,8443786.983576026,5336473.373620048,5701528.142020188
1.2,0.3955,actual_maximum_demand,360287.1844119262,5336473.373620048,8433112.158059495,5336473.373620048,5696760.558031974
1.2,0.396,actual_maximum_demand,355547.9119348498,5336473.373620048,8422464.289173055,5336473.373620048,5692021.285554898
1.2,0.3965,actual_maximum_demand,350836.9212914957,5336473.373620048,8411843.274937024,5336473.373620048,5687310.294911544
1.2,0.397,actual_maximum_demand,346154.1830659872,5336473.373620048,8401249.013885466,5336473.373620048,5682627.556686035
1.2,0.3975,actual_maximum_demand,341499.66809997056,5336473.373620048,8390681.40506297,5336473.373620048,5677973.041720019
1.2,0.398,actual_maximum_demand,336873.3474885784,5336473.373620048,8380140.348021433,5336473.373620048,5673346.721108627
1.2,0.3985,actual_maximum_demand,332275.19257641025,5336473.373620048,8369625.742816889,5336473.373620048,5668748.566196458
1.2,0.399,actual_maximum_demand,327705.1749535082,5336473.373620048,8359137.490006342,5336473.373620048,5664178.548573556
1.2,0.3995,actual_maximum_demand,323163.26645134203,5336473.373620048,8348675.490644631,5336473.373620048,5659636.64007139
1.2,0.4,actual_maximum_demand,318649.43913878035,5336473.373620048,8338239.646281326,5336473.373620048,5655122.8127588285
1.2,0.4005,actual_maximum_demand,314163.6653180849,5336473.373620048,8327829.858957629,5336473.373620048,5650637.038938133
1.2,0.401,actual_maximum_demand,309705.9175208835,5336473.373620048,8317446.031203317,5336473.373620048,5646179.291140932
1.2,0.4015,actual_maximum_demand,305276.1685041655,5336473.373620048,8307088.0660337,5336473.373620048,5641749.542124214
1.2,0.402,actual_maximum_demand,300874.39124626014,5336473.373620048,8296755.866946592,5336473.373620048,5637347.764866308
1.2,0.4025,actual_maximum_demand,296500.5589428311,5336473.373620048,8286449.337919329,5336473.373620048,5632973.932562879
1.2,0.403,actual_maximum_demand,292154.64500286244,5336473.373620048,8276168.383405781,5336473.373620048,5628628.018622911
1.2,0.4035,actual_maximum_demand,287836.623044651,5336473.373620048,8265912.908333408,5336473.373620048,5624309.996664699
1.2,0.404,actual_maximum_demand,283546.4668917954,5336473.373620048,8255682.818100322,5336473.373620048,5620019.840511844
1.2,0.40449999999999997,actual_maximum_demand,279284.1505691875,5336473.373620048,8245478.018572387,5336473.373620048,5615757.524189236
1.2,0.405,actual_maximum_demand,275049.64829900675,5336473.373620048,8235298.416080321,5336473.373620048,5611523.021919055
1.2,0.40549999999999997,actual_maximum_demand,270842.93449671566,5336473.373620048,8225143.917416845,5336473.373620048,5607316.308116764
1.2,0.406,actual_maximum_demand,266663.9837670466,5336473.373620048,8215014.429833818,5336473.373620048,5603137.357387095
1.2,0.4065,actual_maximum_demand,262512.77090000827,5336473.373620048,8204909.861039436,5336473.373620048,5598986.144520056
1.2,0.40700000000000003,actual_maximum_demand,258389.27086686436,5336473.373620048,8194830.119195405,5336473.373620048,5594862.6444869125
1.2,0.4075,actual_maximum_demand,254293.45881614834,5336473.373620048,8184775.112914186,5336473.373620048,5590766.8324361965
1.2,0.408,actual_maximum_demand,250225.31006964296,5336473.373620048,8174744.751256203,5336473.373620048,5586698.683689691
1.2,0.4085,actual_maximum_demand,246184.80011838488,5336473.373620048,8164738.943727125,5336473.373620048,5582658.173738433
1.2,0.409,actual_maximum_demand,242171.90461865906,5336473.373620048,8154757.6002751365,5336473.373620048,5578645.278238707
1.2,0.4095,actual_maximum_demand,238186.5993879987,5336473.373620048,8144800.63128823,5336473.373620048,5574659.973008047
1.2,0.41,actual_maximum_demand,234228.86040117405,5336473.373620048,8134867.947591539,5336473.373620048,5570702.234021222
1.2,0.4105,actual_maximum_demand,230298.663786198,5336473.373620048,8124959.460444655,5336473.373620048,5566772.037406246
1.2,0.411,actual_maximum_demand,226395.98582032137,5336473.373620048,8115075.081539003,5336473.373620048,5562869.3594403695
1.2,0.4115,actual_maximum_demand,222520.80292602535,5336473.373620048,8105214.722995214,5336473.373620048,5558994.1765460735
1.2,0.412,actual_maximum_demand,218673.09166702256,5336473.373620048,8095378.2973605115,5336473.373620048,5555146.465287071
1.2,0.4125,actual_maximum_demand,214852.82874425687,5336473.373620048,8085565.717606135,5336473.373620048,5551326.202364305
1.2,0.413,actual_maximum_demand,211059.9909918951,5336473.373620048,8075776.897124771,5336473.373620048,5547533.364611943
1.2,0.4135,actual_maximum_demand,207294.55537332688,5336473.373620048,8066011.749728006,5336473.373620048,5543767.928993375
1.2,0.414,actual_maximum_demand,203556.49897716474,5336473.373620048,8056270.189643794,5336473.373620048,5540029.872597213
1.2,0.4145,actual_maximum_demand,199845.79901323467,5336473.373620048,8046552.131513945,5336473.373620048,5536319.172633283
1.2,0.415,actual_maximum_demand,196162.43280857988,5336473.373620048,8036857.49039164,5336473.373620048,5532635.806428628
1.2,0.4155,actual_maximum_demand,192506.37780345324,5336473.373620048,8027186.181738942,5336473.373620048,5528979.751423501
1.2,0.416,actual_maximum_demand,188877.61154731736,5336473.373620048,8017538.121424353,5336473.373620048,5525350.9851673655
1.2,0.4165,actual_maximum_demand,185276.111694837,5336473.373620048,8007913.225720362,5336473.373620048,5521749.485314885
1.2,0.417,actual_maximum_demand,181701.85600188095,5336473.373620048,7998311.411301033,5336473.373620048,5518175.229621929
1.2,0.4175,actual_maximum_demand,178154.82232151832,5336473.373620048,7988732.595239595,5336473.373620048,5514628.1959415665
1.2,0.418,actual_maximum_demand,174634.98860001191,5336473.373620048,7979176.695006054,5336473.373620048,5511108.36222006
1.2,0.4185,actual_maximum_demand,171142.33287281357,5336473.373620048,7969643.628464828,5336473.373620048,5507615.706492862
1.2,0.419,actual_maximum_demand,167676.8332605688,5336473.373620048,7960133.313872388,5336473.373620048,5504150.206880617
1.2,0.4195,actual_maximum_demand,164238.46796510462,5336473.373620048,7950645.669874924,5336473.373620048,5500711.841585153
1.2,0.42,actual_maximum_demand,160827.21526542958,5336473.373620048,7941180.615506025,5336473.373620048,5497300.588885478
1.2,0.4205,actual_maximum_demand,157443.05351373553,5336473.373620048,7931738.070184376,5336473.373620048,5493916.427133784
1.2,0.421,actual_maximum_demand,154085.9611313846,5336473.373620048,7922317.953711474,5336473.373620048,5490559.334751433
1.2,0.4215,actual_maximum_demand,150755.9166049119,5336473.373620048,7912920.1862693485,5336473.373620048,5487229.29022496
1.2,0.422,actual_maximum_demand,147452.8984820256,5336473.373620048,7903544.6884183185,5336473.373620048,5483926.272102074
1.2,0.4225,actual_maximum_demand,144176.88536759652,5336473.373620048,7894191.381094746,5336473.373620048,5480650.258987645
1.2,0.423,actual_maximum_demand,140927.855919661,5336473.373620048,7884860.185608818,5336473.373620048,5477401.229539709
1.2,0.4235,actual_maximum_demand,137705.78884541895,5336473.373620048,7875551.023642339,5336473.373620048,5474179.162465467
1.2,0.424,actual_maximum_demand,134510.662897232,5336473.373620048,7866263.817246534,5336473.373620048,5470984.03651728
1.2,0.4245,actual_maximum_demand,131342.4568686178,5336473.373620048,7856998.488839884,5336473.373620048,5467815.830488666
1.2,0.425,actual_maximum_demand,128201.1495902529,5336473.373620048,7847754.961205954,5336473.373620048,5464674.523210301
1.2,0.4255,actual_maximum_demand,125086.71992597822,5336473.373620048,7838533.157491258,5336473.373620048,5461560.093546026
1.2,0.426,actual_maximum_demand,121999.14676878229,5336473.373620048,7829333.001203123,5336473.373620048,5458472.52038883
1.2,0.4265,actual_maximum_demand,118938.40903682541,5336473.373620048,7820154.416207573,5336473.373620048,5455411.782656874
1.2,0.427,actual_maximum_demand,115904.48566942476,5336473.373620048,7810997.326727238,5336473.373620048,5452377.859289473
1.2,0.4275,actual_maximum_demand,112897.35562305897,5336473.373620048,7801861.6573392525,5336473.373620048,5449370.729243107
1.2,0.428,actual_maximum_demand,109916.99786738213,5336473.373620048,7792747.332973202,5336473.373620048,5446390.37148743
1.2,0.4285,actual_maximum_demand,106963.3913812181,5336473.373620048,7783654.278909056,5336473.373620048,5443436.765001266
1.2,0.429,actual_maximum_demand,104036.5151485689,5336473.373620048,7774582.4207751285,5336473.373620048,5440509.888768617
1.2,0.4295,actual_maximum_demand,101136.34815462492,5336473.373620048,7765531.684546054,5336473.373620048,5437609.721774673
1.2,0.43,actual_maximum_demand,98262.86938177235,5336473.373620048,7756501.996540768,5336473.373620048,5434736.2430018205
1.2,0.4305,actual_maximum_demand,95416.05780559964,5336473.373620048,7747493.2834205115,5336473.373620048,5431889.431425648
1.2,0.431,actual_maximum_demand,92595.89239091612,5336473.373620048,7738505.472186846,5336473.373620048,5429069.266010964
1.2,0.4315,actual_maximum_demand,89802.35208775755,5336473.373620048,7729538.490179677,5336473.373620048,5426275.725707806
1.2,0.432,actual_maximum_demand,87035.41582740843,5336473.373620048,7720592.265075303,5336473.373620048,5423508.789447457
1.2,0.4325,actual_maximum_demand,84295.06251840945,5336473.373620048,7711666.7248844635,5336473.373620048,5420768.436138458
1.2,0.433,actual_maximum_demand,81581.2710425863,5336473.373620048,7702761.797950417,5336473.373620048,5418054.6446626345
1.2,0.4335,actual_maximum_demand,78894.02025106549,5336473.373620048,7693877.412947014,5336473.373620048,5415367.393871114
1.2,0.434,actual_maximum_demand,76233.28896029945,5336473.373620048,7685013.498876798,5336473.373620048,5412706.662580348
1.2,0.4345,actual_maximum_demand,73599.05594809353,5336473.373620048,7676169.985069115,5336473.373620048,5410072.429568142
1.2,0.435,actual_maximum_demand,70991.29994962644,5336473.373620048,7667346.801178231,5336473.373620048,5407464.673569675
1.2,0.4355,actual_maximum_demand,68409.99965349399,5336473.373620048,7658543.877181469,5336473.373620048,5404883.373273542
1.2,0.436,actual_maximum_demand,65855.13369773701,5336473.373620048,7649761.143377364,5336473.373620048,5402328.507317785
1.2,0.4365,actual_maximum_demand,63326.6806658702,5336473.373620048,7640998.530383804,5336473.373620048,5399800.054285918
1.2,0.437,actual_maximum_demand,60824.61908294074,5336473.373620048,7632255.969136226,5336473.373620048,5397297.992702989
1.2,0.4375,actual_maximum_demand,58348.92741155531,5336473.373620048,7623533.390885784,5336473.373620048,5394822.3010316035
1.2,0.438,actual_maximum_demand,55899.58404793311,5336473.373620048,7614830.727197559,5336473.373620048,5392372.957667981
1.2,0.4385,actual_maximum_demand,53476.567317960784,5336473.373620048,7606147.909948758,5336473.373620048,5389949.940938009
1.2,0.439,actual_maximum_demand,51079.85547323804,5336473.373620048,7597484.8713269485,5336473.373620048,5387553.229093286
1.2,0.4395,actual_maximum_demand,48709.426687144674,5336473.373620048,7588841.543828283,5336473.373620048,5385182.800307193
1.2,0.44,actual_maximum_demand,46365.25905089639,5336473.373620048,7580217.860255751,5336473.373620048,5382838.632670945
1.2,0.4405,actual_maximum_demand,44047.330569621176,5336473.373620048,7571613.753717436,5336473.373620048,5380520.704189669
1.2,0.441,actual_maximum_demand,41755.61915841699,5336473.373620048,7563029.157624785,5336473.373620048,5378228.992778465
