mode_pair,rank,side,oracle_mode,cell_id,contrast,relative_gap,estimate
actual_maximum_demand / capacity,1,left,actual_maximum_demand,A105_U600,TAIL-minus-KDE,0.0010489047574449,-4002.355030215047
actual_maximum_demand / capacity,1,right,capacity,A120_U660,TAIL-minus-KDE,0.0010489047574449,20255.564443726696
actual_maximum_demand / capacity,1,left,actual_maximum_demand,A105_U600,GEV-minus-KDE,0.0010489047574449,0
actual_maximum_demand / capacity,1,right,capacity,A120_U660,GEV-minus-KDE,0.0010489047574449,23003.360556471183
actual_maximum_demand / capacity,2,left,actual_maximum_demand,A110_U600,TAIL-minus-KDE,0.0010489047574449,-3633.4388632153568
actual_maximum_demand / capacity,2,right,capacity,A120_U660,TAIL-minus-KDE,0.0010489047574449,20255.564443726696
actual_maximum_demand / capacity,2,left,actual_maximum_demand,A110_U600,GEV-minus-KDE,0.0010489047574449,2898.670675456
actual_maximum_demand / capacity,2,right,capacity,A120_U660,GEV-minus-KDE,0.0010489047574449,23003.360556471183
actual_maximum_demand / capacity,3,left,actual_maximum_demand,A110_U400,TAIL-minus-KDE,0.0051568275838489996,0
actual_maximum_demand / capacity,3,right,capacity,A120_U700,TAIL-minus-KDE,0.0051568275838489996,15600.089285037451
actual_maximum_demand / capacity,3,left,actual_maximum_demand,A110_U400,GEV-minus-KDE,0.0051568275838489996,0
actual_maximum_demand / capacity,3,right,capacity,A120_U700,GEV-minus-KDE,0.0051568275838489996,18909.761639026692
actual_maximum_demand / capacity,4,left,actual_maximum_demand,A105_U400,TAIL-minus-KDE,0.0078003056741754,0
actual_maximum_demand / capacity,4,right,capacity,A120_U720,TAIL-minus-KDE,0.0078003056741754,6310.2610230405753
actual_maximum_demand / capacity,4,left,actual_maximum_demand,A105_U400,GEV-minus-KDE,0.0078003056741754,0
actual_maximum_demand / capacity,4,right,capacity,A120_U720,GEV-minus-KDE,0.0078003056741754,5654.9552896641326
actual_maximum_demand / capacity,5,left,actual_maximum_demand,A105_U420,TAIL-minus-KDE,0.0090774129662139994,0
actual_maximum_demand / capacity,5,right,capacity,A105_U700,TAIL-minus-KDE,0.0090774129662139994,-571.76500431643331
actual_maximum_demand / capacity,5,left,actual_maximum_demand,A105_U420,GEV-minus-KDE,0.0090774129662139994,0
actual_maximum_demand / capacity,5,right,capacity,A105_U700,GEV-minus-KDE,0.0090774129662139994,0
actual_maximum_demand / capacity,6,left,actual_maximum_demand,A105_U420,TAIL-minus-KDE,0.0090774129662139994,0
actual_maximum_demand / capacity,6,right,capacity,A110_U700,TAIL-minus-KDE,0.0090774129662139994,-571.76500431643331
actual_maximum_demand / capacity,6,left,actual_maximum_demand,A105_U420,GEV-minus-KDE,0.0090774129662139994,0
actual_maximum_demand / capacity,6,right,capacity,A110_U700,GEV-minus-KDE,0.0090774129662139994,439.62396905200012
actual_maximum_demand / capacity,7,left,actual_maximum_demand,A105_U420,TAIL-minus-KDE,0.0090774129662139994,0
actual_maximum_demand / capacity,7,right,capacity,A115_U700,TAIL-minus-KDE,0.0090774129662139994,2486.7839147743671
actual_maximum_demand / capacity,7,left,actual_maximum_demand,A105_U420,GEV-minus-KDE,0.0090774129662139994,0
actual_maximum_demand / capacity,7,right,capacity,A115_U700,GEV-minus-KDE,0.0090774129662139994,5518.6546943298054
actual_maximum_demand / capacity,8,left,actual_maximum_demand,A105_U440,TAIL-minus-KDE,0.0248761393931657,0
actual_maximum_demand / capacity,8,right,capacity,A105_U700,TAIL-minus-KDE,0.0248761393931657,-571.76500431643331
actual_maximum_demand / capacity,8,left,actual_maximum_demand,A105_U440,GEV-minus-KDE,0.0248761393931657,0
actual_maximum_demand / capacity,8,right,capacity,A105_U700,GEV-minus-KDE,0.0248761393931657,0
actual_maximum_demand / capacity,9,left,actual_maximum_demand,A105_U440,TAIL-minus-KDE,0.0248761393931657,0
actual_maximum_demand / capacity,9,right,capacity,A110_U700,TAIL-minus-KDE,0.0248761393931657,-571.76500431643331
actual_maximum_demand / capacity,9,left,actual_maximum_demand,A105_U440,GEV-minus-KDE,0.0248761393931657,0
actual_maximum_demand / capacity,9,right,capacity,A110_U700,GEV-minus-KDE,0.0248761393931657,439.62396905200012
actual_maximum_demand / capacity,10,left,actual_maximum_demand,A105_U440,TAIL-minus-KDE,0.0248761393931657,0
actual_maximum_demand / capacity,10,right,capacity,A115_U700,TAIL-minus-KDE,0.0248761393931657,2486.7839147743671
