replication_id,EMP,EVENT-EMP,history_upper_endpoint_kw
0,253460.71333654967,253460.71333654967,253460.71333654967
1,205531.20074558567,205531.20074558567,205531.20074558567
2,220070.85422187005,220070.85422187005,220070.85422187005
3,222595.99333847719,222595.99333847719,222595.99333847716
4,239365.36461583531,239365.36461583531,239365.36461583528
5,211412.2546975869,211412.2546975869,211412.2546975869
6,207509.96803708543,207509.96803708543,207509.96803708543
7,213853.0777191988,213853.0777191988,213853.0777191988
8,225346.21505471889,225346.21505471889,225346.21505471889
9,217153.86155372599,217153.86155372599,217153.86155372599
10,168721.96052935161,168721.96052935161,168721.96052935161
11,209355.01390293083,209355.01390293083,209355.01390293083
12,243386.92971060687,243386.92971060687,243386.92971060687
13,224113.19883491023,224113.19883491023,224113.19883491023
14,220969.61484060407,220969.61484060407,220969.61484060407
15,240218.37956681868,240218.37956681868,240218.37956681868
16,262971.98064638965,262971.98064638965,262971.98064638965
17,280230.31880663184,280230.31880663184,280230.31880663184
18,211683.58062089569,211683.58062089569,211683.58062089569
19,262412.03720194043,262412.03720194043,262412.03720194043
20,213050.83619837119,213050.83619837119,213050.83619837119
21,214209.87496653723,214209.87496653723,214209.87496653723
22,213482.55163108691,213482.55163108691,213482.55163108688
23,298842.31991801248,298842.31991801248,298842.31991801248
24,214372.36378478628,214372.36378478628,214372.36378478628
25,325606.67963178293,325606.67963178293,325606.67963178293
26,265819.95376265544,265819.95376265544,265819.95376265544
27,194189.87115136383,194189.87115136383,194189.87115136383
28,220779.12358941487,220779.12358941487,220779.12358941487
29,223984.99624958707,223984.99624958707,223984.99624958707
30,201203.48569496576,201203.48569496576,201203.48569496576
31,244689.30633193409,244689.30633193409,244689.30633193409
32,178337.36033710052,178337.36033710052,178337.36033710052
33,166257.99375681297,166257.99375681297,166257.99375681297
34,305924.3793490692,305924.3793490692,305924.3793490692
35,392996.72395309969,392996.72395309969,392996.72395309969
36,223013.19467460559,223013.19467460559,223013.19467460559
37,241423.90260904719,241423.90260904719,241423.90260904716
38,248142.27716009787,248142.27716009787,248142.27716009787
39,196932.6491061413,196932.6491061413,196932.6491061413
40,227345.69872035549,227345.69872035549,227345.69872035549
41,198925.2749131718,198925.2749131718,198925.2749131718
42,260737.04352495875,260737.04352495875,260737.04352495875
43,215842.06702162331,215842.06702162331,215842.06702162328
44,208407.39691427481,208407.39691427481,208407.39691427481
45,252318.1518737853,252318.1518737853,252318.1518737853
46,219587.13007093943,219587.13007093943,219587.13007093943
47,244383.109236488,244383.109236488,244383.10923648797
48,301986.0503380507,301986.0503380507,301986.0503380507
