region_key,region,method_id,mean_regret_cny,mean_normalized_regret,mode_accuracy,histories,cells_per_history
actual_maximum_demand,Actual-demand,TAIL,5916.815674028264,0.0011087501538519712,0.7223333333333333,1000,3
actual_maximum_demand,Actual-demand,EVENT-EMP,6559.772797717611,0.001229233678958213,0.7046666666666667,1000,3
actual_maximum_demand,Actual-demand,GEV,7262.460309578439,0.0013609100619669703,0.7016666666666667,1000,3
actual_maximum_demand,Actual-demand,KDE,6387.811916346849,0.0011970099856440492,0.7716666666666666,1000,3
actual_maximum_demand,Actual-demand,EMP,7741.480920627935,0.0014506735775908746,0.6866666666666666,1000,3
contracted_maximum_demand,Contract-demand,TAIL,15896.319498436134,0.0030098930832760757,0.5943333333333334,1000,3
contracted_maximum_demand,Contract-demand,EVENT-EMP,18237.795811456424,0.003452940917409064,0.596,1000,3
contracted_maximum_demand,Contract-demand,GEV,19716.920427575387,0.0037333929229703884,0.5486666666666666,1000,3
contracted_maximum_demand,Contract-demand,KDE,23646.794113018266,0.004477201297269736,0.3636666666666667,1000,3
contracted_maximum_demand,Contract-demand,EMP,22153.886199193254,0.004195350479124017,0.581,1000,3
capacity,Capacity,TAIL,24078.424013811582,0.0047846557236025595,0.635,1000,3
capacity,Capacity,EVENT-EMP,25654.311369004965,0.005102771960461091,0.6326666666666666,1000,3
capacity,Capacity,GEV,26108.50729812306,0.005193061360812107,0.641,1000,3
capacity,Capacity,KDE,19347.783617413224,0.0037830601978187327,0.6786666666666666,1000,3
capacity,Capacity,EMP,28685.577582943115,0.0057052483454782255,0.6353333333333334,1000,3
