distribution,replication_id,cell_id,solution_location,candidate_cost_cny,independent_cost_cny,grid_cost_cny,grid_points,excess_cost_cny,grid_excess_cny
GAUSSIAN,0,BASE_ACTUAL_NEAR,interior,5833922.275596345,5833922.275596346,5833922.284362675,10001,0.0,0.0087663298472762
EMP,0,BASE_ACTUAL_NEAR,interior,5760760.288935604,5760760.288935604,5760761.521115488,10001,0.0,1.2321798847988248
GAUSSIAN,0,BASE_CAPACITY_NEAR,interior,5833922.275596345,5833922.275596345,5833922.276747062,10001,0.0,0.0011507170274853
EMP,0,BASE_CAPACITY_NEAR,interior,5760760.288935604,5760760.288935604,5760770.226286434,10001,0.0,9.937350830063224
GAUSSIAN,0,STRESS_ACTUAL_CLEAR,lower,5496266.234313869,5496266.234313869,5496266.234313869,10001,0.0,0.0
EMP,0,STRESS_ACTUAL_CLEAR,lower,5574969.131019224,5574969.131019224,5574969.131019224,10001,0.0,0.0
GAUSSIAN,0,STRESS_ACTUAL_NEAR,lower,5223759.295580599,5223759.295580599,5223759.295580599,10001,0.0,0.0
EMP,0,STRESS_ACTUAL_NEAR,lower,5255296.053801766,5255296.053801766,5255296.053801766,10001,0.0,0.0
GAUSSIAN,0,STRESS_CONTRACT_NEAR_LOW,lower,5213652.508489735,5213652.508489735,5213652.508489735,10001,0.0,0.0
EMP,0,STRESS_CONTRACT_NEAR_LOW,lower,5239658.036589694,5239658.036589694,5239658.036589694,10001,0.0,0.0
GAUSSIAN,0,STRESS_CONTRACT_CLEAR,interior,5198749.523224901,5198749.523224901,5198749.530121449,10001,0.0,0.0068965479731559
EMP,0,STRESS_CONTRACT_CLEAR,interior,5166459.77037308,5166459.77037308,5166459.77037308,10001,0.0,0.0
GAUSSIAN,0,STRESS_CONTRACT_NEAR_HIGH,interior,5198749.523224901,5198749.523224901,5198749.535605575,10001,0.0,0.0123806735500693
EMP,0,STRESS_CONTRACT_NEAR_HIGH,interior,5166459.77037308,5166459.77037308,5166459.77037308,10001,0.0,0.0
GAUSSIAN,0,STRESS_CAPACITY_NEAR,interior,5198749.523224901,5198749.523224901,5198749.526098484,10001,0.0,0.00287358276546
EMP,0,STRESS_CAPACITY_NEAR,interior,5166459.77037308,5166459.77037308,5166459.77037308,10001,0.0,0.0
GAUSSIAN,0,STRESS_CAPACITY_CLEAR,interior,5198749.523224901,5198749.523224902,5198749.525185506,10001,0.0,0.0019606044515967
EMP,0,STRESS_CAPACITY_CLEAR,interior,5166459.77037308,5166459.77037308,5166459.77037308,10001,0.0,0.0
GAUSSIAN,1,BASE_ACTUAL_NEAR,interior,5958232.831926575,5958232.831926576,5958232.862875447,10001,0.0,0.0309488717466592
EMP,1,BASE_ACTUAL_NEAR,interior,6005152.835316075,6005152.835316075,6005159.615130767,10001,0.0,6.779814692214131
GAUSSIAN,1,BASE_CAPACITY_NEAR,interior,5958232.831926575,5958232.831926576,5958232.833434386,10001,0.0,0.0015078112483024
EMP,1,BASE_CAPACITY_NEAR,interior,6005152.835316075,6005152.835316075,6005154.969967052,10001,0.0,2.13465097732842
GAUSSIAN,1,STRESS_ACTUAL_CLEAR,lower,5492801.341707086,5492801.341707086,5492801.341707086,10001,0.0,0.0
EMP,1,STRESS_ACTUAL_CLEAR,lower,5504462.968738304,5504462.968738304,5504462.968738304,10001,0.0,0.0
GAUSSIAN,1,STRESS_ACTUAL_NEAR,lower,5291206.1325200265,5291206.1325200265,5291206.1325200265,10001,0.0,0.0
EMP,1,STRESS_ACTUAL_NEAR,interior,5311264.371633766,5311264.371633766,5311264.371633766,10001,0.0,0.0
GAUSSIAN,1,STRESS_CONTRACT_NEAR_LOW,interior,5291073.048836009,5291073.04883601,5291073.049019497,10001,0.0,0.0001834882423281
EMP,1,STRESS_CONTRACT_NEAR_LOW,interior,5311264.371633766,5311264.371633766,5311264.371633766,10001,0.0,0.0
GAUSSIAN,1,STRESS_CONTRACT_CLEAR,interior,5291073.048836009,5291073.048836009,5291073.072883513,10001,0.0,0.0240475041791796
EMP,1,STRESS_CONTRACT_CLEAR,interior,5311264.371633766,5311264.371633766,5311264.371633766,10001,0.0,0.0
GAUSSIAN,1,STRESS_CONTRACT_NEAR_HIGH,interior,5291073.048836009,5291073.048836009,5291073.080866307,10001,0.0,0.0320302983745932
EMP,1,STRESS_CONTRACT_NEAR_HIGH,interior,5311264.371633766,5311264.371633766,5311264.371633766,10001,0.0,0.0
GAUSSIAN,1,STRESS_CAPACITY_NEAR,interior,5291073.048836009,5291073.048836009,5291073.062222933,10001,0.0,0.0133869247511029
EMP,1,STRESS_CAPACITY_NEAR,interior,5311264.371633766,5311264.371633766,5311264.371633767,10001,0.0,9.313225746154783e-10
GAUSSIAN,1,STRESS_CAPACITY_CLEAR,interior,5291073.048836009,5291073.048836009,5291073.056364104,10001,0.0,0.0075280955061316
EMP,1,STRESS_CAPACITY_CLEAR,interior,5311264.371633766,5311264.371633766,5311264.371633766,10001,0.0,0.0
GAUSSIAN,2,BASE_ACTUAL_NEAR,interior,5553494.665884898,5553494.665884899,5553494.671303315,10001,0.0,0.0054184170439839
EMP,2,BASE_ACTUAL_NEAR,interior,5514416.977313179,5514416.977313179,5514422.944689796,10001,0.0,5.967376617714763
GAUSSIAN,2,BASE_CAPACITY_NEAR,interior,5553494.665884898,5553494.665884898,5553494.677882689,10001,0.0,0.0119977910071611
EMP,2,BASE_CAPACITY_NEAR,interior,5514416.977313179,5514416.977313179,5514418.436148544,10001,0.0,1.458835365250707
GAUSSIAN,2,STRESS_ACTUAL_CLEAR,lower,5387162.626243227,5387162.626243227,5387162.626243227,10001,0.0,0.0
EMP,2,STRESS_ACTUAL_CLEAR,lower,5464379.804850354,5464379.804850354,5464379.804850354,10001,0.0,0.0
GAUSSIAN,2,STRESS_ACTUAL_NEAR,lower,5000741.758367806,5000741.758367806,5000741.758367806,10001,0.0,0.0
EMP,2,STRESS_ACTUAL_NEAR,lower,5056983.126898684,5056983.126898684,5056983.126898684,10001,0.0,0.0
GAUSSIAN,2,STRESS_CONTRACT_NEAR_LOW,lower,4981316.877167312,4981316.877167312,4981316.877167312,10001,0.0,0.0
EMP,2,STRESS_CONTRACT_NEAR_LOW,lower,5033194.366157368,5033194.366157368,5033194.366157368,10001,0.0,0.0
GAUSSIAN,2,STRESS_CONTRACT_CLEAR,interior,4931421.229843716,4931421.229843717,4931421.264311352,10001,0.0,0.0344676356762647
EMP,2,STRESS_CONTRACT_CLEAR,interior,4928289.441416054,4928289.441416054,4928289.441416054,10001,0.0,0.0
GAUSSIAN,2,STRESS_CONTRACT_NEAR_HIGH,interior,4931421.229843716,4931421.229843716,4931421.244787556,10001,0.0,0.0149438399821519
EMP,2,STRESS_CONTRACT_NEAR_HIGH,interior,4928289.441416054,4928289.441416054,4928289.441416054,10001,0.0,0.0
GAUSSIAN,2,STRESS_CAPACITY_NEAR,interior,4931421.229843716,4931421.229843716,4931421.233423876,10001,0.0,0.0035801595076918
EMP,2,STRESS_CAPACITY_NEAR,interior,4928289.441416054,4928289.441416054,4928289.441416054,10001,0.0,0.0
GAUSSIAN,2,STRESS_CAPACITY_CLEAR,interior,4931421.229843716,4931421.229843716,4931421.234411033,10001,0.0,0.0045673167333006
EMP,2,STRESS_CAPACITY_CLEAR,interior,4928289.441416054,4928289.441416054,4928289.441416054,10001,0.0,0.0
GAUSSIAN,3,BASE_ACTUAL_NEAR,interior,5582675.523468699,5582675.523468699,5582675.532703755,10001,0.0,0.009235056117177
EMP,3,BASE_ACTUAL_NEAR,interior,5481487.97946311,5481487.97946311,5481491.55617097,10001,0.0,3.576707860454917
GAUSSIAN,3,BASE_CAPACITY_NEAR,interior,5582675.523468699,5582675.5234687,5582675.532162278,10001,0.0,0.0086935786530375
EMP,3,BASE_CAPACITY_NEAR,interior,5481487.97946311,5481487.97946311,5481491.54740986,10001,0.0,3.5679467506706715
GAUSSIAN,3,STRESS_ACTUAL_CLEAR,lower,5390917.382241544,5390917.382241544,5390917.382241544,10001,0.0,0.0
EMP,3,STRESS_ACTUAL_CLEAR,lower,5482787.055044854,5482787.055044854,5482787.055044854,10001,0.0,0.0
GAUSSIAN,3,STRESS_ACTUAL_NEAR,lower,5015713.1096210815,5015713.1096210815,5015713.1096210815,10001,0.0,0.0
EMP,3,STRESS_ACTUAL_NEAR,lower,5120297.796033283,5120297.796033283,5120297.796033283,10001,0.0,0.0
GAUSSIAN,3,STRESS_CONTRACT_NEAR_LOW,lower,4997783.697597824,4997783.697597824,4997783.697597824,10001,0.0,0.0
EMP,3,STRESS_CONTRACT_NEAR_LOW,lower,5094234.434013161,5094234.434013161,5094234.434013161,10001,0.0,0.0
GAUSSIAN,3,STRESS_CONTRACT_CLEAR,interior,4956688.817290067,4956688.817290067,4956688.855437128,10001,0.0,0.0381470611318945
EMP,3,STRESS_CONTRACT_CLEAR,interior,4891551.336797372,4891551.336797372,4891551.336797372,10001,0.0,0.0
GAUSSIAN,3,STRESS_CONTRACT_NEAR_HIGH,interior,4956688.817290067,4956688.817290067,4956688.823917124,10001,0.0,0.0066270576789975
EMP,3,STRESS_CONTRACT_NEAR_HIGH,interior,4891551.336797372,4891551.336797372,4891551.336797372,10001,0.0,0.0
GAUSSIAN,3,STRESS_CAPACITY_NEAR,interior,4956688.817290067,4956688.817290067,4956688.818232985,10001,0.0,0.000942918471992
EMP,3,STRESS_CAPACITY_NEAR,interior,4891551.336797372,4891551.336797372,4891551.336797372,10001,0.0,0.0
