method_id,diagnostic,rho_functional,rho_q99,rho_difference,ci95_low,ci95_high,histories,bootstrap_replicates,bootstrap_seed
EMP,mean_relative_error,0.5987851701057387,0.04313353061436719,0.5556516394913715,0.4890763174751529,0.622883064122038,1000,5000,2026092501
EMP,stoploss_relative_error,0.373426059347586,0.04313353061436719,0.3302925287332188,0.2672936296495739,0.39538073850618494,1000,5000,2026092501
EVENT-EMP,mean_relative_error,0.586686018512345,0.02684052176260127,0.5598454967497437,0.49599646055984853,0.6253958805158251,1000,5000,2026092501
EVENT-EMP,stoploss_relative_error,0.4527415433669952,0.02684052176260127,0.4259010216043939,0.3649399155886752,0.4873068559769956,1000,5000,2026092501
GEV,mean_relative_error,0.6184233867581692,0.14609987074349182,0.47232351601467737,0.40999282223966244,0.5331869413530209,1000,5000,2026092501
GEV,stoploss_relative_error,0.4026031582677582,0.14609987074349182,0.25650328752426643,0.20192698151392222,0.3107180368845004,1000,5000,2026092501
KDE,mean_relative_error,0.31195192724871956,-0.20449832594267586,0.5164502531913955,0.4538012621699668,0.5780002359781605,1000,5000,2026092501
KDE,stoploss_relative_error,0.12019444250734437,-0.20449832594267586,0.32469276845002026,0.2515520721997348,0.3979527978765244,1000,5000,2026092501
TAIL,mean_relative_error,0.7465750339027623,0.5326602965314023,0.2139147373713599,0.1732036194558453,0.2543802186642496,1000,5000,2026092501
TAIL,stoploss_relative_error,0.691188171967313,0.5326602965314023,0.15852787543591063,0.13436156882115788,0.18338369716494232,1000,5000,2026092501
