method_id,diagnostic,median_percent,mean_percent,histories
EMP,q99_relative_error,17.010120276687317,18.151698474364515,1000
EMP,mean_relative_error,2.9481217190441202,3.4480238831145713,1000
EMP,stoploss_relative_error,30.894870258576912,37.34630710119789,1000
EVENT-EMP,q99_relative_error,17.010120276687317,18.151698474364515,1000
EVENT-EMP,mean_relative_error,2.673816761809405,3.2393240053684815,1000
EVENT-EMP,stoploss_relative_error,30.611023715585127,36.298881744291194,1000
GEV,q99_relative_error,12.990337775722544,15.920551790067138,1000
GEV,mean_relative_error,2.93772648598604,3.428671537839418,1000
GEV,stoploss_relative_error,30.411923899248794,36.718878734710614,1000
KDE,q99_relative_error,14.06236162441321,15.732819496706535,1000
KDE,mean_relative_error,2.9481246670082855,3.4545973975437025,1000
KDE,stoploss_relative_error,33.754221093341286,43.630006399344744,1000
TAIL,q99_relative_error,10.056022923839885,12.222198346602621,1000
TAIL,mean_relative_error,2.71250684228387,3.226937001572837,1000
TAIL,stoploss_relative_error,27.56343622646248,33.59934211803201,1000
