oracle_mode,contrast,mean_difference_cny,ci95_low,ci95_high,bootstrap_seed,bootstrap_replicates,histories
actual_maximum_demand,GAUSSIAN-EMP,2249.436252751765,1397.2519258796274,3210.5799142259607,2026092502,5000,1000
actual_maximum_demand,GAUSSIAN-KDE,3603.105257032851,2533.6873446434442,4779.499276699848,2026092502,5000,1000
actual_maximum_demand,GAUSSIAN-GEV,2728.4568638012624,1853.178876779487,3738.77432525966,2026092502,5000,1000
actual_maximum_demand,GAUSSIAN-TAIL,4074.1014993514373,2898.1644780976303,5366.7337320136585,2026092502,5000,1000
actual_maximum_demand,GAUSSIAN-EVENT-EMP,3431.144375662089,2284.6588457538387,4711.508551947749,2026092502,5000,1000
capacity,GAUSSIAN-EMP,-2904.9344618638984,-4483.021783696487,-1393.797985949298,2026092502,5000,1000
capacity,GAUSSIAN-KDE,6432.859503665993,4495.102547590954,8577.374204100264,2026092502,5000,1000
capacity,GAUSSIAN-GEV,-327.86417704384,-1610.0219547084755,953.0254423292043,2026092502,5000,1000
capacity,GAUSSIAN-TAIL,1702.2191072676392,-576.67833335819,4029.1837510715554,2026092502,5000,1000
capacity,GAUSSIAN-EVENT-EMP,126.33175207425316,-1694.4453522327694,1914.7741957985268,2026092502,5000,1000
contracted_maximum_demand,GAUSSIAN-EMP,-1616.000194917516,-2806.827674776142,-415.8322726858499,2026092502,5000,1000
contracted_maximum_demand,GAUSSIAN-KDE,-3108.908108742528,-3922.9000915341803,-2314.2940661385965,2026092502,5000,1000
contracted_maximum_demand,GAUSSIAN-GEV,820.9655767003526,13.316749539720869,1669.8190034433258,2026092502,5000,1000
contracted_maximum_demand,GAUSSIAN-TAIL,4641.566505839605,3669.758681619835,5624.301831339908,2026092502,5000,1000
contracted_maximum_demand,GAUSSIAN-EVENT-EMP,2300.090192819316,1380.1031511674348,3245.3819444579867,2026092502,5000,1000
