analysis_variant,factory,method,crps
MAIN_FIXED_NATURAL,Cement_1,K-EMP,0.0696652850868408
MAIN_FIXED_NATURAL,Cement_1,K-GEV,0.0721577579148887
MAIN_FIXED_NATURAL,Cement_1,K-GTAIL,0.0746575605268341
MAIN_FIXED_NATURAL,Cement_1,K-KDE,0.0644595207247045
MAIN_FIXED_NATURAL,Cement_1,K-POINT,0.0810067800136683
MAIN_FIXED_NATURAL,Cement_1,K-UGPD,0.047750916995469
MAIN_FIXED_NATURAL,Cement_2,K-EMP,0.0357544705895504
MAIN_FIXED_NATURAL,Cement_2,K-GEV,0.0375894535322022
MAIN_FIXED_NATURAL,Cement_2,K-GTAIL,0.029841393401698
MAIN_FIXED_NATURAL,Cement_2,K-KDE,0.0375717602670223
MAIN_FIXED_NATURAL,Cement_2,K-POINT,0.0532942655307261
MAIN_FIXED_NATURAL,Cement_2,K-UGPD,0.0296414548835976
MAIN_FIXED_NATURAL,Forge_1,K-EMP,0.0330287479054878
MAIN_FIXED_NATURAL,Forge_1,K-GEV,0.0325624101987406
MAIN_FIXED_NATURAL,Forge_1,K-GTAIL,0.0321565810501482
MAIN_FIXED_NATURAL,Forge_1,K-KDE,0.0317192202228392
MAIN_FIXED_NATURAL,Forge_1,K-POINT,0.0364764381474535
MAIN_FIXED_NATURAL,Forge_1,K-UGPD,0.0318943543311658
MAIN_FIXED_NATURAL,Forge_2,K-EMP,0.0198879615824309
MAIN_FIXED_NATURAL,Forge_2,K-GEV,0.0199742409576042
MAIN_FIXED_NATURAL,Forge_2,K-GTAIL,0.0196253399014091
MAIN_FIXED_NATURAL,Forge_2,K-KDE,0.0184941564618177
MAIN_FIXED_NATURAL,Forge_2,K-POINT,0.0255713003013744
MAIN_FIXED_NATURAL,Forge_2,K-UGPD,0.0198956451506735
MAIN_FIXED_NATURAL,Metal_1,K-EMP,0.0045702602766149
MAIN_FIXED_NATURAL,Metal_1,K-GEV,0.0044788758181889
MAIN_FIXED_NATURAL,Metal_1,K-GTAIL,0.0032864576369966
MAIN_FIXED_NATURAL,Metal_1,K-KDE,0.0042687679269758
MAIN_FIXED_NATURAL,Metal_1,K-POINT,0.0049300598706231
MAIN_FIXED_NATURAL,Metal_1,K-UGPD,0.0033064734798766
MAIN_FIXED_NATURAL,Metal_3,K-EMP,0.008554682513486
MAIN_FIXED_NATURAL,Metal_3,K-GEV,0.0077107106760537
MAIN_FIXED_NATURAL,Metal_3,K-GTAIL,0.0329141275493256
MAIN_FIXED_NATURAL,Metal_3,K-KDE,0.007889206439417
MAIN_FIXED_NATURAL,Metal_3,K-POINT,0.0099288745107073
MAIN_FIXED_NATURAL,Metal_3,K-UGPD,0.0080924725731197
MAIN_FIXED_NATURAL,Paper,K-EMP,0.0074067770419741
MAIN_FIXED_NATURAL,Paper,K-GEV,0.0075069006622652
MAIN_FIXED_NATURAL,Paper,K-GTAIL,0.0067682642111966
MAIN_FIXED_NATURAL,Paper,K-KDE,0.0070950464227003
MAIN_FIXED_NATURAL,Paper,K-POINT,0.0105095551952378
MAIN_FIXED_NATURAL,Paper,K-UGPD,0.0070885798663619
MAIN_FIXED_NATURAL,Steel_2,K-EMP,0.0450694255316212
MAIN_FIXED_NATURAL,Steel_2,K-GEV,0.0426733084416054
MAIN_FIXED_NATURAL,Steel_2,K-GTAIL,0.0373386323446209
MAIN_FIXED_NATURAL,Steel_2,K-KDE,0.0392327507113472
MAIN_FIXED_NATURAL,Steel_2,K-POINT,0.0555261149458497
MAIN_FIXED_NATURAL,Steel_2,K-UGPD,0.0351528180317303
ROBUST_FIXED_ALL,Cement_1,K-EMP,0.069649846596585
ROBUST_FIXED_ALL,Cement_1,K-GEV,0.072026222516085
ROBUST_FIXED_ALL,Cement_1,K-GTAIL,0.0747300207375191
ROBUST_FIXED_ALL,Cement_1,K-KDE,0.0646654349412501
ROBUST_FIXED_ALL,Cement_1,K-POINT,0.0810067800136683
ROBUST_FIXED_ALL,Cement_1,K-UGPD,0.0577092232325099
ROBUST_FIXED_ALL,Cement_2,K-EMP,0.0358908248789279
ROBUST_FIXED_ALL,Cement_2,K-GEV,0.037569907147608
ROBUST_FIXED_ALL,Cement_2,K-GTAIL,0.0299626083063205
ROBUST_FIXED_ALL,Cement_2,K-KDE,0.0377581460373339
ROBUST_FIXED_ALL,Cement_2,K-POINT,0.0532942655307261
ROBUST_FIXED_ALL,Cement_2,K-UGPD,0.03033015020867
ROBUST_FIXED_ALL,Forge_1,K-EMP,0.0330130620516304
ROBUST_FIXED_ALL,Forge_1,K-GEV,0.0325615002473118
ROBUST_FIXED_ALL,Forge_1,K-GTAIL,0.0318431723390178
ROBUST_FIXED_ALL,Forge_1,K-KDE,0.0317556448783403
ROBUST_FIXED_ALL,Forge_1,K-POINT,0.0364764381474535
