diagnostic,fold,model,preprocessing,test_replications,test_rows,roc_auc,log_loss
absolute_q99_relative_error,1,fixed_effects_only,none,200,9000,0.7000765020192975,0.561019359677474
absolute_q99_relative_error,1,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.6991495874990786,0.5611213827925308
absolute_q99_relative_error,2,fixed_effects_only,none,200,9000,0.7012116449593553,0.5560653071813423
absolute_q99_relative_error,2,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.6991853519451627,0.5561427157782822
absolute_q99_relative_error,3,fixed_effects_only,none,200,9000,0.7039624478409481,0.56359723768673
absolute_q99_relative_error,3,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.706055884874577,0.5635053958701864
absolute_q99_relative_error,4,fixed_effects_only,none,200,9000,0.664221507957407,0.5691638991720126
absolute_q99_relative_error,4,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.6648541572108915,0.5691012361817542
absolute_q99_relative_error,5,fixed_effects_only,none,200,9000,0.6960899427398027,0.562743847685699
absolute_q99_relative_error,5,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.695256475476139,0.5626874751115548
absolute_mean_relative_error,1,fixed_effects_only,none,200,9000,0.7000765020192975,0.561019359677474
absolute_mean_relative_error,1,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7089833375128457,0.557820449859413
absolute_mean_relative_error,2,fixed_effects_only,none,200,9000,0.7012116449593553,0.5560653071813423
absolute_mean_relative_error,2,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7119963204646941,0.5515810020512607
absolute_mean_relative_error,3,fixed_effects_only,none,200,9000,0.7039624478409481,0.56359723768673
absolute_mean_relative_error,3,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7090978485911937,0.5586280146670904
absolute_mean_relative_error,4,fixed_effects_only,none,200,9000,0.664221507957407,0.5691638991720126
absolute_mean_relative_error,4,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.6913948586165876,0.5633314950823292
absolute_mean_relative_error,5,fixed_effects_only,none,200,9000,0.6960899427398027,0.562743847685699
absolute_mean_relative_error,5,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7097983341280604,0.5574051594684294
absolute_stoploss_relative_error,1,fixed_effects_only,none,200,9000,0.7000765020192975,0.561019359677474
absolute_stoploss_relative_error,1,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7116898453100365,0.5581717573488093
absolute_stoploss_relative_error,2,fixed_effects_only,none,200,9000,0.7012116449593553,0.5560653071813423
absolute_stoploss_relative_error,2,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7139608631244725,0.5524774557096492
absolute_stoploss_relative_error,3,fixed_effects_only,none,200,9000,0.7039624478409481,0.56359723768673
absolute_stoploss_relative_error,3,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7110559234652541,0.5591282781443524
absolute_stoploss_relative_error,4,fixed_effects_only,none,200,9000,0.664221507957407,0.5691638991720126
absolute_stoploss_relative_error,4,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.6932117436427419,0.5639761946001037
absolute_stoploss_relative_error,5,fixed_effects_only,none,200,9000,0.6960899427398027,0.562743847685699
absolute_stoploss_relative_error,5,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7106025005346145,0.5584490264945403
d_mv,1,fixed_effects_only,none,200,9000,0.7000765020192975,0.561019359677474
d_mv,1,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7137437720324544,0.5576836187193049
d_mv,2,fixed_effects_only,none,200,9000,0.7012116449593553,0.5560653071813423
d_mv,2,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7176054614285942,0.5508921726734309
d_mv,3,fixed_effects_only,none,200,9000,0.7039624478409481,0.56359723768673
d_mv,3,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7141790080009194,0.5579745276858258
d_mv,4,fixed_effects_only,none,200,9000,0.664221507957407,0.5691638991720126
d_mv,4,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.700698282809169,0.5623189180414696
d_mv,5,fixed_effects_only,none,200,9000,0.6960899427398027,0.562743847685699
d_mv,5,plus_diagnostic,training_fold_empirical_percentile,200,9000,0.7161859209780057,0.5572381858493204
