cell_id,policy_id,alpha,kappa,utilization,S_kva,oracle_mode,oracle_margin_cny,oracle_best_value_cny,oracle_contract_D_kw
A105_U400,CROSS_ALPHA105,1.05,2.0,0.4,370588.4287236145,actual_maximum_demand,648770.3508110186,5336473.373620048,148235.3714894458
A105_U420,CROSS_ALPHA105,1.05,2.0,0.42,352941.3606891567,actual_maximum_demand,577002.6960712913,5336473.373620048,141176.5442756627
A105_U440,CROSS_ALPHA105,1.05,2.0,0.44,336898.57156692224,actual_maximum_demand,557541.6983689237,5336473.373620048,135478.62626660542
A105_U460,CROSS_ALPHA105,1.05,2.0,0.46,322250.8075857517,actual_maximum_demand,557541.6983689237,5336473.373620048,135478.62626660542
A105_U480,CROSS_ALPHA105,1.05,2.0,0.48,308823.6906030121,actual_maximum_demand,557541.6983689237,5336473.373620048,135478.62626660542
A105_U500,CROSS_ALPHA105,1.05,2.0,0.5,296470.7429788916,actual_maximum_demand,557541.6983689237,5336473.373620048,135478.62626660542
A105_U520,CROSS_ALPHA105,1.05,2.0,0.52,285068.02209508803,actual_maximum_demand,557541.6983689237,5336473.373620048,135478.62626660542
A105_U540,CROSS_ALPHA105,1.05,2.0,0.54,274509.9472026774,actual_maximum_demand,557541.6983689237,5336473.373620048,135478.62626660542
A105_U560,CROSS_ALPHA105,1.05,2.0,0.56,264706.02051686746,actual_maximum_demand,557541.6983689237,5336473.373620048,135478.62626660542
A105_U580,CROSS_ALPHA105,1.05,2.0,0.58,255578.22670594105,actual_maximum_demand,414036.7272636257,5336473.373620048,135478.62626660542
A105_U600,CROSS_ALPHA105,1.05,2.0,0.6,247058.95248240966,actual_maximum_demand,222353.05723416898,5336473.373620048,135478.62626660542
A105_U620,CROSS_ALPHA105,1.05,2.0,0.62,239089.30885394482,actual_maximum_demand,43036.075593709946,5336473.373620048,135478.62626660542
A105_U640,CROSS_ALPHA105,1.05,2.0,0.64,231617.76795225905,capacity,125073.59469421953,5211399.778925829,135478.62626660542
A105_U660,CROSS_ALPHA105,1.05,2.0,0.66,224599.04771128148,capacity,282994.8001162149,5053478.573503833,135478.62626660542
A105_U680,CROSS_ALPHA105,1.05,2.0,0.68,217993.19336683204,capacity,431626.5228663273,4904846.850753721,135478.62626660542
A105_U700,CROSS_ALPHA105,1.05,2.0,0.7,211764.816413494,capacity,571765.0043164333,4764708.369303615,135478.62626660542
A105_U720,CROSS_ALPHA105,1.05,2.0,0.72,205882.46040200806,capacity,704118.0145748667,4632355.359045181,135478.62626660542
A105_U740,CROSS_ALPHA105,1.05,2.0,0.74,200318.06958033217,capacity,829316.8080625739,4507156.565557474,135478.62626660542
A105_U760,CROSS_ALPHA105,1.05,2.0,0.76,195046.5414334813,capacity,947926.1913667191,4388547.182253329,135478.62626660542
A110_U400,CROSS_ALPHA110,1.1,2.0,0.4,370588.4287236145,actual_maximum_demand,508719.7549953973,5336473.373620048,148235.3714894458
A110_U420,CROSS_ALPHA110,1.1,2.0,0.42,352941.3606891567,actual_maximum_demand,402292.60790946893,5336473.373620048,141176.5442756627
A110_U440,CROSS_ALPHA110,1.1,2.0,0.44,336898.57156692224,actual_maximum_demand,345986.53271111567,5336473.373620048,134759.4286267689
A110_U460,CROSS_ALPHA110,1.1,2.0,0.46,322250.8075857517,actual_maximum_demand,334775.0757173365,5336473.373620048,130581.0027692116
A110_U480,CROSS_ALPHA110,1.1,2.0,0.48,308823.6906030121,actual_maximum_demand,334775.0757173365,5336473.373620048,130581.0027692116
A110_U500,CROSS_ALPHA110,1.1,2.0,0.5,296470.7429788916,actual_maximum_demand,334775.0757173365,5336473.373620048,130581.0027692116
A110_U520,CROSS_ALPHA110,1.1,2.0,0.52,285068.02209508803,actual_maximum_demand,334775.0757173365,5336473.373620048,130581.0027692116
A110_U540,CROSS_ALPHA110,1.1,2.0,0.54,274509.9472026774,actual_maximum_demand,334775.0757173365,5336473.373620048,130581.0027692116
