alpha,utilization,cell_id,oracle_mode,method_id,action_accuracy,mean_regret_cny,mean_regret_over_oracle,mean_regret_over_capacity,mean_d_mv,oracle_margin_cny
1.05,0.4,A105_U400,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,0.8545904726170234,648770.3508110186
1.05,0.4,A105_U400,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,0.816766107684069,648770.3508110186
1.05,0.4,A105_U400,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,0.8429840891269228,648770.3508110186
1.05,0.4,A105_U400,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.0057014007800644,648770.3508110186
1.05,0.4,A105_U400,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,0.7469492441763392,648770.3508110186
1.05,0.42,A105_U420,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,1.0212733690834888,577002.6960712913
1.05,0.42,A105_U420,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,0.9789695629585499,577002.6960712913
1.05,0.42,A105_U420,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,1.0095282525129559,577002.6960712913
1.05,0.42,A105_U420,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.2170835791201915,577002.6960712913
1.05,0.42,A105_U420,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,0.9210375416235532,577002.6960712913
1.05,0.44,A105_U440,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,1.0992263466861831,557541.6983689237
1.05,0.44,A105_U440,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,1.0579377406458972,557541.6983689237
1.05,0.44,A105_U440,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,1.0899911934917799,557541.6983689237
1.05,0.44,A105_U440,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.2998911730562142,557541.6983689237
1.05,0.44,A105_U440,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.0159607483490378,557541.6983689237
1.05,0.46,A105_U460,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,1.1156211382246193,557541.6983689237
1.05,0.46,A105_U460,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,1.0722034475317772,557541.6983689237
1.05,0.46,A105_U460,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,1.1041461024870698,557541.6983689237
1.05,0.46,A105_U460,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.3052850712224968,557541.6983689237
1.05,0.46,A105_U460,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.0300978888560308,557541.6983689237
1.05,0.48,A105_U480,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,1.1178719956960932,557541.6983689237
1.05,0.48,A105_U480,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,1.0732886247266584,557541.6983689237
1.05,0.48,A105_U480,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,1.1053077873595136,557541.6983689237
1.05,0.48,A105_U480,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.305522184614571,557541.6983689237
1.05,0.48,A105_U480,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.0306348780117571,557541.6983689237
1.05,0.5,A105_U500,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,1.1178970845246812,557541.6983689237
1.05,0.5,A105_U500,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,1.0732917955654842,557541.6983689237
1.05,0.5,A105_U500,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,1.105310432979497,557541.6983689237
1.05,0.5,A105_U500,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.305522187659064,557541.6983689237
1.05,0.5,A105_U500,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.030634915908609,557541.6983689237
1.05,0.52,A105_U520,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,1.1178970845246812,557541.6983689237
1.05,0.52,A105_U520,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,1.0732917955654842,557541.6983689237
1.05,0.52,A105_U520,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,1.105310432979497,557541.6983689237
1.05,0.52,A105_U520,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.305522187659064,557541.6983689237
1.05,0.52,A105_U520,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.030634915908609,557541.6983689237
1.05,0.54,A105_U540,actual_maximum_demand,EMP,0.999,840.0004384401925,0.0001574074074074073,0.0001359999999999999,1.1178970845246812,557541.6983689237
1.05,0.54,A105_U540,actual_maximum_demand,EVENT-EMP,0.999,840.0004384401925,0.0001574074074074073,0.0001359999999999999,1.0732917955654842,557541.6983689237
1.05,0.54,A105_U540,actual_maximum_demand,GEV,0.999,840.0004384401925,0.0001574074074074073,0.0001359999999999999,1.105310432979497,557541.6983689237
1.05,0.54,A105_U540,actual_maximum_demand,KDE,0.998,1680.000876880385,0.0003148148148148146,0.0002719999999999998,1.305522187659064,557541.6983689237
1.05,0.54,A105_U540,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.030634915908609,557541.6983689237
1.05,0.56,A105_U560,actual_maximum_demand,EMP,0.991,5574.708792085223,0.0010446428571428557,0.000935999999999999,1.1178970845246812,557541.6983689237
1.05,0.56,A105_U560,actual_maximum_demand,EVENT-EMP,0.994,3716.4725280568155,0.0006964285714285704,0.0006239999999999994,1.0732917955654842,557541.6983689237
1.05,0.56,A105_U560,actual_maximum_demand,GEV,0.992,4955.296704075754,0.0009285714285714272,0.0008319999999999992,1.105310432979497,557541.6983689237
1.05,0.56,A105_U560,actual_maximum_demand,KDE,0.991,5574.708792085223,0.0010446428571428557,0.000935999999999999,1.305522187659064,557541.6983689237
1.05,0.56,A105_U560,actual_maximum_demand,TAIL,0.996,2477.648352037877,0.0004642857142857136,0.0004159999999999996,1.030634915908609,557541.6983689237
1.05,0.58,A105_U580,actual_maximum_demand,EMP,0.944,23186.05672676304,0.004344827586206906,0.004032000000000011,1.5053597858981902,414036.7272636257
1.05,0.58,A105_U580,actual_maximum_demand,EVENT-EMP,0.963,15319.358908754151,0.00287068965517242,0.0026640000000000075,1.445294320868291,414036.7272636257
1.05,0.58,A105_U580,actual_maximum_demand,GEV,0.947,21943.94654497216,0.00411206896551725,0.003816000000000011,1.4884106057477744,414036.7272636257
1.05,0.58,A105_U580,actual_maximum_demand,KDE,0.943,23600.093454026664,0.004422413793103458,0.004104000000000011,1.7580156779238796,414036.7272636257
1.05,0.58,A105_U580,actual_maximum_demand,TAIL,0.964,14905.322181490526,0.002793103448275868,0.002592000000000007,1.3878525830587127,414036.7272636257
1.05,0.6,A105_U600,actual_maximum_demand,EMP,0.84,35576.48915746703,0.006666666666666671,0.0064,2.8030837392587036,222353.05723416895
1.05,0.6,A105_U600,actual_maximum_demand,EVENT-EMP,0.864,30240.01578384698,0.005666666666666671,0.00544,2.6912377009271666,222353.05723416895
1.05,0.6,A105_U600,actual_maximum_demand,GEV,0.84,35576.48915746703,0.006666666666666671,0.0064,2.7715231969096537,222353.05723416895
1.05,0.6,A105_U600,actual_maximum_demand,KDE,0.84,35576.48915746703,0.006666666666666671,0.0064,3.2735464347548158,222353.05723416895
1.05,0.6,A105_U600,actual_maximum_demand,TAIL,0.858,31574.13412725199,0.005916666666666672,0.005679999999999999,2.5842772236265734,222353.05723416895
1.05,0.62,A105_U620,actual_maximum_demand,EMP,0.604,17042.28593510914,0.0031935483870967514,0.0031679999999999603,14.482599319503363,43036.075593709946
1.05,0.62,A105_U620,actual_maximum_demand,EVENT-EMP,0.642,15406.91506254816,0.0028870967741935274,0.002863999999999964,13.904728121457087,43036.075593709946
1.05,0.62,A105_U620,actual_maximum_demand,GEV,0.605,16999.24985951543,0.003185483870967719,0.00315999999999996,14.319536517366604,43036.075593709946
1.05,0.62,A105_U620,actual_maximum_demand,KDE,0.604,17042.28593510914,0.0031935483870967514,0.0031679999999999603,16.913323246233286,43036.075593709946
1.05,0.62,A105_U620,actual_maximum_demand,TAIL,0.643,15363.87898695445,0.0028790322580644957,0.0028559999999999645,13.352098988737351,43036.075593709946
1.05,0.64,A105_U640,capacity,EMP,0.682,39773.4031127618,0.007631999999999969,0.007631999999999969,4.983259980904383,125073.59469421952
1.05,0.64,A105_U640,capacity,EVENT-EMP,0.674,40773.991870315556,0.007823999999999966,0.007823999999999966,4.784422579426095,125073.59469421952
1.05,0.64,A105_U640,capacity,GEV,0.682,39773.4031127618,0.007631999999999969,0.007631999999999969,4.927152350061626,125073.59469421952
1.05,0.64,A105_U640,capacity,KDE,0.682,39773.4031127618,0.007631999999999969,0.007631999999999969,5.8196381062308085,125073.59469421952
1.05,0.64,A105_U640,capacity,TAIL,0.682,39773.4031127618,0.007631999999999969,0.007631999999999969,4.594270619780594,125073.59469421952
1.05,0.66,A105_U660,capacity,EMP,0.905,26884.506011040416,0.00532,0.00532,2.202422937988983,282994.8001162149
1.05,0.66,A105_U660,capacity,EVENT-EMP,0.9,28299.48001162149,0.005600000000000001,0.005600000000000001,2.114543907871347,282994.8001162149
1.05,0.66,A105_U660,capacity,GEV,0.905,26884.506011040416,0.00532,0.00532,2.1776253690004435,282994.8001162149
1.05,0.66,A105_U660,capacity,KDE,0.905,26884.506011040416,0.00532,0.00532,2.5720721987359285,282994.8001162149
1.05,0.66,A105_U660,capacity,TAIL,0.906,26601.5112109242,0.0052640000000000004,0.0052640000000000004,2.0305035328494516,282994.8001162149
1.05,0.68,A105_U680,capacity,EMP,0.986,6042.771320128582,0.0012319999999999987,0.0012319999999999987,1.4440128353756982,431626.5228663273
1.05,0.68,A105_U680,capacity,EVENT-EMP,0.984,6906.024365861237,0.0014079999999999984,0.0014079999999999984,1.3863951792655125,431626.5228663273
1.05,0.68,A105_U680,capacity,GEV,0.986,6042.771320128582,0.0012319999999999987,0.0012319999999999987,1.4277543741655814,431626.5228663273
1.05,0.68,A105_U680,capacity,KDE,0.986,6042.771320128582,0.0012319999999999987,0.0012319999999999987,1.6863724057827867,431626.5228663273
1.05,0.68,A105_U680,capacity,TAIL,0.985,6474.397842994909,0.0013199999999999985,0.0013199999999999985,1.3312943273227822,431626.5228663273
1.05,0.7,A105_U700,capacity,EMP,0.998,1143.5300086328666,0.0002399999999999998,0.0002399999999999998,1.0900881208228315,571765.0043164333
1.05,0.7,A105_U700,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,1.0465924392494559,571765.0043164333
1.05,0.7,A105_U700,capacity,GEV,0.998,1143.5300086328666,0.0002399999999999998,0.0002399999999999998,1.0778145765759786,571765.0043164333
1.05,0.7,A105_U700,capacity,KDE,0.998,1143.5300086328666,0.0002399999999999998,0.0002399999999999998,1.2730458357379866,571765.0043164333
1.05,0.7,A105_U700,capacity,TAIL,0.999,571.7650043164333,0.0001199999999999999,0.0001199999999999999,1.0049966980770026,571765.0043164333
1.05,0.72,A105_U720,capacity,EMP,1.0,0.0,0.0,0.0,0.8851843387132771,704118.0145748667
1.05,0.72,A105_U720,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,0.8498645371348968,704118.0145748667
1.05,0.72,A105_U720,capacity,GEV,1.0,0.0,0.0,0.0,0.8752178516556821,704118.0145748667
1.05,0.72,A105_U720,capacity,KDE,1.0,0.0,0.0,0.0,1.0337515057120494,704118.0145748667
1.05,0.72,A105_U720,capacity,TAIL,1.0,0.0,0.0,0.0,0.8160875443031304,704118.0145748667
1.05,0.74,A105_U740,capacity,EMP,1.0,0.0,0.0,0.0,0.7515514373374806,829316.8080625739
1.05,0.74,A105_U740,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,0.7215637314080106,829316.8080625739
1.05,0.74,A105_U740,capacity,GEV,1.0,0.0,0.0,0.0,0.7430895527946193,829316.8080625739
1.05,0.74,A105_U740,capacity,KDE,1.0,0.0,0.0,0.0,0.8776899861299168,829316.8080625739
1.05,0.74,A105_U740,capacity,TAIL,1.0,0.0,0.0,0.0,0.6928859222766919,829316.8080625739
1.05,0.76,A105_U760,capacity,EMP,1.0,0.0,0.0,0.0,0.6575134697026598,947926.1913667192
1.05,0.76,A105_U760,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,0.6312779792298302,947926.1913667192
1.05,0.76,A105_U760,capacity,GEV,1.0,0.0,0.0,0.0,0.6501103795220183,947926.1913667192
1.05,0.76,A105_U760,capacity,KDE,1.0,0.0,0.0,0.0,0.7678689167943406,947926.1913667192
1.05,0.76,A105_U760,capacity,TAIL,1.0,0.0,0.0,0.0,0.6061884845543821,947926.1913667192
1.1,0.4,A110_U400,actual_maximum_demand,EMP,1.0,0.0,0.0,0.0,1.0290983136996699,508719.7549953973
1.1,0.4,A110_U400,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,0.9826053012444151,508719.7549953973
1.1,0.4,A110_U400,actual_maximum_demand,GEV,1.0,0.0,0.0,0.0,1.011840143712877,508719.7549953973
1.1,0.4,A110_U400,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.1772325900582445,508719.7549953973
1.1,0.4,A110_U400,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,0.874927260715581,508719.7549953973
1.1,0.42,A110_U420,actual_maximum_demand,EMP,0.999,402.29260790946887,7.53854802121068e-05,5.06590427025357e-05,1.3812971066685371,402292.6079094689
1.1,0.42,A110_U420,actual_maximum_demand,EVENT-EMP,1.0,0.0,0.0,0.0,1.3205526163678656,402292.6079094689
1.1,0.42,A110_U420,actual_maximum_demand,GEV,0.999,402.29260790946887,7.53854802121068e-05,5.06590427025357e-05,1.363156570189248,402292.6079094689
1.1,0.42,A110_U420,actual_maximum_demand,KDE,1.0,0.0,0.0,0.0,1.6266367746266392,402292.6079094689
1.1,0.42,A110_U420,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.2098765084175813,402292.6079094689
1.1,0.44,A110_U440,actual_maximum_demand,EMP,0.995,1729.9326635555783,0.0003241715159879195,0.00022821674725549497,1.697886491035999,345986.53271111567
1.1,0.44,A110_U440,actual_maximum_demand,EVENT-EMP,0.998,691.9730654222313,0.0001296686063951678,9.128669890219799e-05,1.6281477905037565,345986.53271111567
1.1,0.44,A110_U440,actual_maximum_demand,GEV,0.998,691.9730654222313,0.0001296686063951678,9.128669890219799e-05,1.6789197321007265,345986.53271111567
1.1,0.44,A110_U440,actual_maximum_demand,KDE,0.999,345.9865327111157,6.48343031975839e-05,4.5643349451098995e-05,2.0178408900762927,345986.53271111567
1.1,0.44,A110_U440,actual_maximum_demand,TAIL,1.0,0.0,0.0,0.0,1.5338255384429396,345986.53271111567
1.1,0.46,A110_U460,actual_maximum_demand,EMP,0.986,4716.211504728722,0.0008837693312670708,0.000650454227812564,1.8159402842157402,334775.0757173365
1.1,0.46,A110_U460,actual_maximum_demand,EVENT-EMP,0.995,1684.3539622640321,0.00031563053806102543,0.0002323040760129147,1.747011345236273,334775.0757173365
1.1,0.46,A110_U460,actual_maximum_demand,GEV,0.992,2697.1520268023833,0.0005054184361033818,0.00037198796897208893,1.7981580809583668,334775.0757173365
1.1,0.46,A110_U460,actual_maximum_demand,KDE,0.998,676.4841183318254,0.0001267661376661054,9.32998773222536e-05,2.133705967484985,334775.0757173365
1.1,0.46,A110_U460,actual_maximum_demand,TAIL,0.998,673.384475266356,0.0001261852965659152,9.28723782725136e-05,1.6733735805262515,334775.0757173365
1.1,0.48,A110_U480,actual_maximum_demand,EMP,0.983,5863.938124337938,0.0010988414471109925,0.0008439102313812418,1.8368353539654807,334775.0757173365
1.1,0.48,A110_U480,actual_maximum_demand,EVENT-EMP,0.991,3136.4517887531547,0.0005877386748067872,0.0004513833022516125,1.765108683893577,334775.0757173365
1.1,0.48,A110_U480,actual_maximum_demand,GEV,0.991,3098.1459267265873,0.0005805605518509181,0.0004458705038215047,1.81575089284558,334775.0757173365
