prefix_replications,method_id,cell_id,metric,estimate,mcse,normal_ci95_low,normal_ci95_high,replications
100,EMP,BASE_ACTUAL_NEAR,action_accuracy,0.6,0.0492365963917331,0.5034962710722031,0.6965037289277969,100
200,EMP,BASE_ACTUAL_NEAR,action_accuracy,0.625,0.03431856376795913,0.5577356150148001,0.6922643849851999,200
400,EMP,BASE_ACTUAL_NEAR,action_accuracy,0.6175,0.024330316186073,0.569812580275297,0.6651874197247031,400
600,EMP,BASE_ACTUAL_NEAR,action_accuracy,0.6166666666666667,0.019865528271455254,0.5777302312546144,0.655603102078719,600
800,EMP,BASE_ACTUAL_NEAR,action_accuracy,0.60125,0.01732225801254896,0.567298374295404,0.6352016257045959,800
1000,EMP,BASE_ACTUAL_NEAR,action_accuracy,0.604,0.015473313265859495,0.5736723059989154,0.6343276940010846,1000
100,EMP,BASE_CAPACITY_NEAR,action_accuracy,0.52,0.05021167315686782,0.42158512061253905,0.618414879387461,100
200,EMP,BASE_CAPACITY_NEAR,action_accuracy,0.495,0.035442288003096976,0.4255331155139299,0.5644668844860701,200
400,EMP,BASE_CAPACITY_NEAR,action_accuracy,0.5175,0.025015972341295295,0.4684686942110612,0.5665313057889387,400
600,EMP,BASE_CAPACITY_NEAR,action_accuracy,0.5283333333333333,0.020396619176391666,0.48835595974760565,0.5683107069190609,600
800,EMP,BASE_CAPACITY_NEAR,action_accuracy,0.535,0.017645337838485632,0.5004151378365682,0.5695848621634318,800
1000,EMP,BASE_CAPACITY_NEAR,action_accuracy,0.531,0.015788865959538965,0.5000538227193037,0.5619461772806964,1000
100,EMP,STRESS_ACTUAL_CLEAR,action_accuracy,1.0,0.0,1.0,1.0,100
200,EMP,STRESS_ACTUAL_CLEAR,action_accuracy,0.995,0.005000000000000001,0.9852,1.0048,200
400,EMP,STRESS_ACTUAL_CLEAR,action_accuracy,0.99,0.004981167541368988,0.9802369116189168,0.9997630883810832,400
