gap_stratum,diagnostic,cells,relative_gap_min,relative_gap_max,macro_auc_equal_cell,min_cell_auc,max_cell_auc,pooled_within_stratum_auc,mode_error_prevalence
large,absolute_mean_relative_error,3,0.011449493066408767,0.10732172755804033,0.6804152651973082,0.5583480383351472,0.9106753788710741,0.59705192,0.16666666666666666
large,absolute_q99_relative_error,3,0.011449493066408767,0.10732172755804033,0.662954279601404,0.3910391697547769,0.8627831466432389,0.48532812799999997,0.16666666666666666
large,absolute_stoploss_relative_error,3,0.011449493066408767,0.10732172755804033,0.7054307173173356,0.5869039191031181,0.9046225931620178,0.551406736,0.16666666666666666
large,d_mv,3,0.011449493066408767,0.10732172755804033,0.7274049954562015,0.6003531713851237,0.9310571784171607,0.8763771040000001,0.16666666666666666
medium,absolute_mean_relative_error,3,0.004498995713365119,0.008064516129032235,0.590257361835653,0.515855270938747,0.6419756920614297,0.5879203617591606,0.4629333333333333
medium,absolute_q99_relative_error,3,0.004498995713365119,0.008064516129032235,0.558612996838701,0.4365169958027261,0.6285296694382739,0.559880528480933,0.4629333333333333
medium,absolute_stoploss_relative_error,3,0.004498995713365119,0.008064516129032235,0.5437883753395941,0.44147856118104406,0.675480738226012,0.5436627149698653,0.4629333333333333
medium,d_mv,3,0.004498995713365119,0.008064516129032235,0.563665488250908,0.48715536491114403,0.6481293857371433,0.5803782097466353,0.4629333333333333
small,absolute_mean_relative_error,3,0.0009298489685393762,0.0034221161373104675,0.5108805679508216,0.4354277775525843,0.5597514718495757,0.5109558149794443,0.47173333333333334
small,absolute_q99_relative_error,3,0.0009298489685393762,0.0034221161373104675,0.46357630617776335,0.37260734365021253,0.6436489162724172,0.46343182078245304,0.47173333333333334
small,absolute_stoploss_relative_error,3,0.0009298489685393762,0.0034221161373104675,0.5335788992788103,0.4637009005809348,0.5790981546105163,0.5358116190154689,0.47173333333333334
small,d_mv,3,0.0009298489685393762,0.0034221161373104675,0.5266937828042016,0.4420104245283322,0.5844091559260561,0.5327592859268763,0.47173333333333334
