method_id,diagnostic,spearman_rho,ci95_low,ci95_high,histories,bootstrap_replicates,bootstrap_seed,resampling_unit
EMP,abs_q99_relative_error,0.0431335306144,-0.0192066848784,0.10846262564,1000,5000,2026092402,replication_id (history)
EMP,abs_mean_relative_error,0.598785170106,0.556495253524,0.641696355328,1000,5000,2026092402,replication_id (history)
EMP,abs_stoploss_relative_error,0.373426059348,0.312443116018,0.432438587847,1000,5000,2026092402,replication_id (history)
EMP,d_mv,0.44723790524,0.391625555522,0.500898716997,1000,5000,2026092402,replication_id (history)
EVENT-EMP,abs_q99_relative_error,0.0268405217626,-0.0366595574477,0.0899296001478,1000,5000,2026092402,replication_id (history)
EVENT-EMP,abs_mean_relative_error,0.586686018512,0.541221531888,0.629319808988,1000,5000,2026092402,replication_id (history)
EVENT-EMP,abs_stoploss_relative_error,0.452741543367,0.396591111536,0.504610168604,1000,5000,2026092402,replication_id (history)
EVENT-EMP,d_mv,0.499296411228,0.446814333393,0.548702201347,1000,5000,2026092402,replication_id (history)
GEV,abs_q99_relative_error,0.146099870743,0.0864215486668,0.206328034257,1000,5000,2026092402,replication_id (history)
GEV,abs_mean_relative_error,0.618423386758,0.575454111906,0.659892994807,1000,5000,2026092402,replication_id (history)
GEV,abs_stoploss_relative_error,0.402603158268,0.343772096774,0.461368529257,1000,5000,2026092402,replication_id (history)
GEV,d_mv,0.48574196751,0.431014706628,0.537974522383,1000,5000,2026092402,replication_id (history)
KDE,abs_q99_relative_error,-0.204498325943,-0.263850874248,-0.143770761941,1000,5000,2026092402,replication_id (history)
KDE,abs_mean_relative_error,0.311951927249,0.257574702656,0.366625977484,1000,5000,2026092402,replication_id (history)
KDE,abs_stoploss_relative_error,0.120194442507,0.0463982662406,0.19208527965,1000,5000,2026092402,replication_id (history)
KDE,d_mv,0.25975852843,0.195885747784,0.323465025837,1000,5000,2026092402,replication_id (history)
TAIL,abs_q99_relative_error,0.532660296531,0.482130803931,0.576378902176,1000,5000,2026092402,replication_id (history)
TAIL,abs_mean_relative_error,0.746575033903,0.712151244914,0.778883828273,1000,5000,2026092402,replication_id (history)
TAIL,abs_stoploss_relative_error,0.691188171967,0.653572293257,0.725107291135,1000,5000,2026092402,replication_id (history)
TAIL,d_mv,0.710394632877,0.672552603399,0.745029528513,1000,5000,2026092402,replication_id (history)
