method_id,metric,contrast,positive_means_higher_loss_under_all_observations,factory_mean_difference,factory_cluster_ci95_low,factory_cluster_ci95_high,factories,origins_per_factory,bootstrap_replicates
K-BLOCK,crps,all_observations_minus_natural_tail,True,-1.954520488269328e-05,-6.66746588294923e-05,2.1126685515442934e-05,8,4,5000
K-EMP,crps,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GEV,crps,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GTAIL,crps,all_observations_minus_natural_tail,True,0.0001691351148344249,-6.916463036407667e-05,0.0004972288687175535,8,4,5000
K-KDE,crps,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-POINT,crps,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-UGPD,crps,all_observations_minus_natural_tail,True,-4.436201716374928e-05,-0.00013228932739649932,1.1320367361880948e-05,8,4,5000
K-BLOCK,q95_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-EMP,q95_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GEV,q95_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GTAIL,q95_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-KDE,q95_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-POINT,q95_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-UGPD,q95_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-BLOCK,q95_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-EMP,q95_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GEV,q95_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GTAIL,q95_pinball,all_observations_minus_natural_tail,True,-1.8472540060984413e-05,-0.00029391459840501883,0.00028719112577456867,8,4,5000
K-KDE,q95_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-POINT,q95_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-UGPD,q95_pinball,all_observations_minus_natural_tail,True,3.6790162315877785e-05,-4.7939679765406985e-05,0.0001558113023475539,8,4,5000
K-BLOCK,q99_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-EMP,q99_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GEV,q99_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GTAIL,q99_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-KDE,q99_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-POINT,q99_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-UGPD,q99_exceedance_brier,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-BLOCK,q99_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-EMP,q99_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GEV,q99_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GTAIL,q99_pinball,all_observations_minus_natural_tail,True,3.9257644174293565e-05,-3.850617664726267e-05,0.0001552775083676717,8,4,5000
K-KDE,q99_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-POINT,q99_pinball,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-UGPD,q99_pinball,all_observations_minus_natural_tail,True,2.2880831049926468e-05,-7.720092971322429e-06,7.363356973716587e-05,8,4,5000
K-BLOCK,qwcrps_090,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-EMP,qwcrps_090,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GEV,qwcrps_090,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-GTAIL,qwcrps_090,all_observations_minus_natural_tail,True,-9.572715395687855e-07,-4.650389432395004e-05,5.261770636058246e-05,8,4,5000
K-KDE,qwcrps_090,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-POINT,qwcrps_090,all_observations_minus_natural_tail,True,0.0,0.0,0.0,8,4,5000
K-UGPD,qwcrps_090,all_observations_minus_natural_tail,True,7.858309808699297e-06,-6.818428645774982e-06,2.8903958487836776e-05,8,4,5000
