metric,contrast,positive_favors_K_GTAIL,factory_mean_gain,factory_cluster_ci95_low,factory_cluster_ci95_high,factories,bootstrap_replicates
crps,K-BLOCK-minus-K-GTAIL,True,-0.005627398959936139,-0.018887905330111372,0.003667084784028697,8,5000
crps,K-EMP-minus-K-GTAIL,True,-0.0030054863982280763,-0.01772707438918173,0.007970524921106191,8,5000
crps,K-GEV-minus-K-GTAIL,True,-0.0030023717786368765,-0.01835731866684173,0.008654412955003353,8,5000
crps,K-KDE-minus-K-GTAIL,True,-0.004653571764293018,-0.019087270604366633,0.005569103570800937,8,5000
crps,K-POINT-minus-K-GTAIL,True,0.0036384690593753537,-0.012803996003456438,0.017827048329166775,8,5000
crps,K-UGPD-minus-K-GTAIL,True,-0.005433278956241339,-0.01946587057683395,0.005174443364184176,8,5000
qwcrps_090,K-BLOCK-minus-K-GTAIL,True,0.0005096284734379019,-0.000397308843033012,0.0016660662662433938,8,5000
qwcrps_090,K-EMP-minus-K-GTAIL,True,0.0005096284734379019,-0.0003981772837143514,0.0017311619784355636,8,5000
qwcrps_090,K-GEV-minus-K-GTAIL,True,0.0006134383429968807,-0.0004960708147807483,0.0019406840954100772,8,5000
qwcrps_090,K-KDE-minus-K-GTAIL,True,8.65325943464295e-05,-0.0005713189672994105,0.0007391738704982902,8,5000
qwcrps_090,K-POINT-minus-K-GTAIL,True,0.0026121704519093763,0.0001251220110633652,0.005812766381395704,8,5000
qwcrps_090,K-UGPD-minus-K-GTAIL,True,0.0002388338870774243,-0.0006539303963326086,0.0014690023396492049,8,5000
q95_pinball,K-BLOCK-minus-K-GTAIL,True,0.0025939772340283114,-0.00232670083272476,0.009304063760826549,8,5000
q95_pinball,K-EMP-minus-K-GTAIL,True,0.0025939772340283114,-0.0022208954997633853,0.0091352171544835,8,5000
q95_pinball,K-GEV-minus-K-GTAIL,True,0.0032679217892914864,-0.0024717063549152237,0.010367102043938899,8,5000
q95_pinball,K-KDE-minus-K-GTAIL,True,0.0005479331415972643,-0.0029217724562882012,0.004265279393896194,8,5000
q95_pinball,K-POINT-minus-K-GTAIL,True,0.01377747637356845,0.0006768374285850361,0.030461239004821405,8,5000
q95_pinball,K-UGPD-minus-K-GTAIL,True,0.0014472209895045277,-0.003361236138179625,0.008504198229302986,8,5000
q99_pinball,K-BLOCK-minus-K-GTAIL,True,0.004070835850499065,-0.0004925901388666168,0.010679977810019276,8,5000
q99_pinball,K-EMP-minus-K-GTAIL,True,0.004070835850499065,-0.00045756638421796166,0.010364990112069879,8,5000
q99_pinball,K-GEV-minus-K-GTAIL,True,0.004480851684251914,-0.0005572773217167249,0.011444838888616528,8,5000
q99_pinball,K-KDE-minus-K-GTAIL,True,4.979204442797172e-05,-0.0016579720077339341,0.001997547600413326,8,5000
q99_pinball,K-POINT-minus-K-GTAIL,True,0.017134154614557216,0.003579800888879508,0.03412542269339193,8,5000
q99_pinball,K-UGPD-minus-K-GTAIL,True,0.0009934546389280983,-0.0013827978751908825,0.004569467143515325,8,5000
q95_exceedance_brier,K-BLOCK-minus-K-GTAIL,True,0.11249999999999999,0.028124999999999997,0.225,8,5000
q95_exceedance_brier,K-EMP-minus-K-GTAIL,True,0.11249999999999999,0.028124999999999997,0.225,8,5000
q95_exceedance_brier,K-GEV-minus-K-GTAIL,True,0.084375,0.0,0.19687500000000002,8,5000
q95_exceedance_brier,K-KDE-minus-K-GTAIL,True,0.028124999999999997,0.0,0.08437499999999999,8,5000
q95_exceedance_brier,K-POINT-minus-K-GTAIL,True,0.28125,0.140625,0.421875,8,5000
q95_exceedance_brier,K-UGPD-minus-K-GTAIL,True,0.05625,0.0,0.16875,8,5000
q99_exceedance_brier,K-BLOCK-minus-K-GTAIL,True,0.153125,0.030625,0.275625,8,5000
q99_exceedance_brier,K-EMP-minus-K-GTAIL,True,0.153125,0.030625,0.275625,8,5000
q99_exceedance_brier,K-GEV-minus-K-GTAIL,True,0.1225,0.030625,0.245,8,5000
q99_exceedance_brier,K-KDE-minus-K-GTAIL,True,0.0,0.0,0.0,8,5000
q99_exceedance_brier,K-POINT-minus-K-GTAIL,True,0.33687500000000004,0.21437499999999998,0.49,8,5000
q99_exceedance_brier,K-UGPD-minus-K-GTAIL,True,0.0,0.0,0.0,8,5000
