metric,contrast,positive_favors_K_GTAIL,factory_mean_gain,factory_cluster_ci95_low,factory_cluster_ci95_high,factories,bootstrap_replicates
crps,K-BLOCK-minus-K-GTAIL,True,-0.005816079279653262,-0.019002655288115684,0.0033924160719436035,8,5000
crps,K-EMP-minus-K-GTAIL,True,-0.003174621513062502,-0.01789096621205858,0.007776310439816762,8,5000
crps,K-GEV-minus-K-GTAIL,True,-0.0031715068934713023,-0.018449646013286518,0.008485188753426865,8,5000
crps,K-KDE-minus-K-GTAIL,True,-0.004822706879127442,-0.019375088757925922,0.005500699652297717,8,5000
crps,K-POINT-minus-K-GTAIL,True,0.0034693339445409288,-0.01289214550709158,0.0176665029911998,8,5000
crps,K-UGPD-minus-K-GTAIL,True,-0.005646776088239512,-0.019624873169432268,0.004951027070702897,8,5000
qwcrps_090,K-BLOCK-minus-K-GTAIL,True,0.0005105857449774693,-0.00038119346019942115,0.0016547006919271808,8,5000
qwcrps_090,K-EMP-minus-K-GTAIL,True,0.0005105857449774693,-0.0003893962055538656,0.0017228612996698285,8,5000
qwcrps_090,K-GEV-minus-K-GTAIL,True,0.0006143956145364482,-0.0004899067318896448,0.001936400069605112,8,5000
qwcrps_090,K-KDE-minus-K-GTAIL,True,8.748986588599697e-05,-0.0005696504056358908,0.0007577898834279135,8,5000
qwcrps_090,K-POINT-minus-K-GTAIL,True,0.002613127723448944,0.0001431821164976174,0.005817045814011038,8,5000
qwcrps_090,K-UGPD-minus-K-GTAIL,True,0.00024764946842569977,-0.0006434569803037386,0.0014678937720413576,8,5000
q95_pinball,K-BLOCK-minus-K-GTAIL,True,0.0026124497740893002,-0.002259537358723606,0.009276859880016402,8,5000
q95_pinball,K-EMP-minus-K-GTAIL,True,0.0026124497740893002,-0.0021489419865482495,0.009136412032218284,8,5000
q95_pinball,K-GEV-minus-K-GTAIL,True,0.0032863943293524756,-0.002446353373960574,0.010431109237260315,8,5000
q95_pinball,K-KDE-minus-K-GTAIL,True,0.0005664056816582536,-0.002925076450746834,0.004376233473924901,8,5000
q95_pinball,K-POINT-minus-K-GTAIL,True,0.013795948913629438,0.0008312893197630618,0.03037667157806825,8,5000
q95_pinball,K-UGPD-minus-K-GTAIL,True,0.0015024836918814022,-0.00334242003529062,0.008517417022869704,8,5000
q99_pinball,K-BLOCK-minus-K-GTAIL,True,0.004031578206324769,-0.00045853338139852594,0.010601818661493498,8,5000
q99_pinball,K-EMP-minus-K-GTAIL,True,0.004031578206324769,-0.0004255850548095432,0.010322823360143688,8,5000
q99_pinball,K-GEV-minus-K-GTAIL,True,0.004441594040077617,-0.0005574276619522979,0.011368716185702335,8,5000
q99_pinball,K-KDE-minus-K-GTAIL,True,1.053440025367404e-05,-0.0016841869460276454,0.0019743882127207834,8,5000
q99_pinball,K-POINT-minus-K-GTAIL,True,0.01709489697038292,0.0036024792040226503,0.03409931948384079,8,5000
q99_pinball,K-UGPD-minus-K-GTAIL,True,0.0009770778258037331,-0.001393361935482755,0.004528994855706853,8,5000
q95_exceedance_brier,K-BLOCK-minus-K-GTAIL,True,0.11249999999999999,0.028124999999999997,0.225,8,5000
q95_exceedance_brier,K-EMP-minus-K-GTAIL,True,0.11249999999999999,0.028124999999999997,0.225,8,5000
q95_exceedance_brier,K-GEV-minus-K-GTAIL,True,0.084375,0.0,0.19687500000000002,8,5000
q95_exceedance_brier,K-KDE-minus-K-GTAIL,True,0.028124999999999997,0.0,0.08437499999999999,8,5000
q95_exceedance_brier,K-POINT-minus-K-GTAIL,True,0.28125,0.140625,0.421875,8,5000
q95_exceedance_brier,K-UGPD-minus-K-GTAIL,True,0.05625,0.0,0.16875,8,5000
q99_exceedance_brier,K-BLOCK-minus-K-GTAIL,True,0.153125,0.030625,0.275625,8,5000
q99_exceedance_brier,K-EMP-minus-K-GTAIL,True,0.153125,0.030625,0.275625,8,5000
q99_exceedance_brier,K-GEV-minus-K-GTAIL,True,0.1225,0.030625,0.245,8,5000
q99_exceedance_brier,K-KDE-minus-K-GTAIL,True,0.0,0.0,0.0,8,5000
q99_exceedance_brier,K-POINT-minus-K-GTAIL,True,0.33687500000000004,0.21437499999999998,0.49,8,5000
q99_exceedance_brier,K-UGPD-minus-K-GTAIL,True,0.0,0.0,0.0,8,5000
