tail_rate_per_month,tail_event_probability_per_month,method_id,replications,median_abs_q99_error,mean_abs_q99_error,fallback_fraction,action_accuracy,mean_regret_over_oracle,p95_regret_over_oracle
0.2,0.1812692469220181,EMP,200,0.17664721165275835,0.18428993751713274,0.0,0.9464285714285714,0.0017668751506042073,0.0204148112313335
0.2,0.1812692469220181,EVENT-EMP,200,0.17664721165275835,0.18428993751713274,0.0,0.9492857142857143,0.0016932433641592324,0.0204148112313335
0.2,0.1812692469220181,GEV,200,0.1852975365282222,0.17907164273044862,0.0,0.9771428571428571,0.0018137404557006082,0.0093926913808168
0.2,0.1812692469220181,KDE,200,0.16564850901084383,0.18144515096988426,0.0,0.8735714285714286,0.01270699982951731,0.0773976932365338
0.2,0.1812692469220181,TAIL,200,0.32020157006745226,0.3163394423939901,0.59,0.9992857142857143,0.0045276595655013765,0.0131501716271298
1.0,0.6321205588285577,EMP,200,0.16681327838111185,0.1899374475196898,0.0,0.8021428571428572,0.007700074686209968,0.0378957840115403
1.0,0.6321205588285577,EVENT-EMP,200,0.16681327838111185,0.1899374475196898,0.0,0.8114285714285714,0.006951412529235556,0.0378957840115403
1.0,0.6321205588285577,GEV,200,0.1291368173224755,0.158371751496856,0.0,0.8178571428571428,0.006925914178463934,0.0378957840115403
1.0,0.6321205588285577,KDE,200,0.1414775150707171,0.17547243202168994,0.0,0.7135714285714285,0.00840593938435393,0.0378957840115403
1.0,0.6321205588285577,TAIL,200,0.4390334257434073,0.444791140237435,0.93,0.8385714285714285,0.017089451196184054,0.08619695005264524
5.0,0.9932620530009144,EMP,200,0.17350749000649002,0.17996166900888075,0.0,0.6485714285714286,0.00385933558874627,0.01188620510095564
5.0,0.9932620530009144,EVENT-EMP,200,0.17350749000649002,0.17996166900888075,0.0,0.6542857142857142,0.002915903210357559,0.0115471203219144
5.0,0.9932620530009144,GEV,200,0.1354939677109489,0.1657484737996021,0.0,0.6478571428571429,0.0032159075213198853,0.0115471203219144
5.0,0.9932620530009144,KDE,200,0.1383746677784105,0.16042937768643964,0.0,0.6164285714285714,0.0029774621249291254,0.0115471203219144
5.0,0.9932620530009144,TAIL,200,0.45050182325076926,0.44954731630585476,1.0,0.5721428571428572,0.05208049668028035,0.17916088749313738
30.0,0.9999999999999064,EMP,200,0.1638260599898778,0.1672202706272607,0.0,0.66,0.0039544124360903436,0.0119743208919161
30.0,0.9999999999999064,EVENT-EMP,200,0.1638260599898778,0.1672202706272607,0.0,0.6635714285714286,0.003340871478127117,0.0114494930664087
30.0,0.9999999999999064,GEV,200,0.13398104716661885,0.15720739610722556,0.0,0.6614285714285715,0.003342935261154454,0.0114494930664087
30.0,0.9999999999999064,KDE,200,0.13302567528366435,0.1504191761870506,0.0,0.5985714285714285,0.0031973497624901382,0.0114494930664087
30.0,0.9999999999999064,TAIL,200,0.08974049537674594,0.11208054694907396,0.0,0.6792857142857143,0.0025822836329063075,0.0114494930664087
