scenario_id,method_id,action_accuracy,mean_regret_cny,median_regret_cny,p95_regret_cny,mean_regret_over_oracle,median_absolute_q99_error,fallback_row_fraction
RATE_SHIFT_5_TO_30,EMP,0.46,87009.20565442655,25110.12792323064,571765.0043164333,0.01739210294677043,0.2266714219653193,0.0
RATE_SHIFT_5_TO_30,EVENT-EMP,0.5633333333333334,68250.81156832815,11861.451992777176,525937.4664304684,0.013599193363438133,0.2266714219653193,0.0
RATE_SHIFT_5_TO_30,GEV,0.44722222222222224,80483.91711447772,33703.50545955822,571765.0043164333,0.01610704055946015,0.17635302315839355,0.0
RATE_SHIFT_5_TO_30,KDE,0.40944444444444444,68530.31858756761,36251.74303444056,571765.0043164333,0.013758823504697948,0.1821966594383456,0.0
RATE_SHIFT_5_TO_30,TAIL,0.47444444444444445,77185.80001414947,11861.451992777176,571765.0043164333,0.015339756748098819,0.12958864244114388,0.0
SCALE_SHIFT_8000_TO_12000,EMP,0.5755555555555556,69433.49420212334,11861.451992777176,360244.99448384624,0.013799485672697322,0.22742511553739794,0.0
SCALE_SHIFT_8000_TO_12000,EVENT-EMP,0.5922222222222222,55322.10081842404,11861.451992777176,214320.7369943237,0.011040757926800678,0.22742511553739794,0.0
SCALE_SHIFT_8000_TO_12000,GEV,0.5716666666666667,64766.594637457645,11861.451992777176,297388.26758172177,0.012883672047858475,0.17939403815907706,0.0
SCALE_SHIFT_8000_TO_12000,KDE,0.5233333333333333,49937.491327702715,11861.451992777176,167029.77702386677,0.009886474477625345,0.19612821520399537,0.0
SCALE_SHIFT_8000_TO_12000,TAIL,0.5961111111111111,53267.49199047899,11861.451992777176,173162.0856183178,0.010546525219999167,0.10363574841864004,0.0
SHAPE_SHIFT_005_TO_015,EMP,0.6244444444444445,47840.13933736421,4962.114262098447,167569.56430827352,0.009540956895175551,0.229987910941996,0.0
SHAPE_SHIFT_005_TO_015,EVENT-EMP,0.635,41165.899221517364,4962.114262098447,139072.8186530219,0.008254517924090687,0.229987910941996,0.0
SHAPE_SHIFT_005_TO_015,GEV,0.63,42212.54676794034,4962.114262098447,132073.9899600287,0.008414966933241744,0.1804187351661226,0.0
SHAPE_SHIFT_005_TO_015,KDE,0.5938888888888889,32646.124085890275,4962.114262098447,84038.95076566935,0.006461382560515016,0.1996484743608937,0.0
SHAPE_SHIFT_005_TO_015,TAIL,0.6527777777777778,38732.51207165253,4962.114262098447,109065.04657539268,0.007746683628930557,0.1373407074971659,0.0
STATIONARY_TARGET,EMP,0.6283333333333333,19413.05469186504,0.0,60408.2708125161,0.0037723734652789936,0.1801727000802688,0.0
STATIONARY_TARGET,EVENT-EMP,0.6294444444444445,18886.358102612172,0.3299255343154073,60408.2708125161,0.0036842374540715242,0.1801727000802688,0.0
STATIONARY_TARGET,GEV,0.6227777777777778,18358.555470767904,0.0,60408.2708125161,0.0035652995784944187,0.14679109096080975,0.0
STATIONARY_TARGET,KDE,0.5961111111111111,17528.14676313852,0.0,60408.2708125161,0.0033763232698798126,0.14618097051567686,0.0
STATIONARY_TARGET,TAIL,0.6411111111111111,17049.58034133594,0.0,60408.2708125161,0.003319799773960648,0.08515958079506461,0.0
