metric,oracle_mode,contrast,same_information_set,estimate,median_paired_difference,median_percentile_ci95_low,median_percentile_ci95_high,fraction_negative,fraction_zero,fraction_positive,percentile_ci95_low,percentile_ci95_high,percentile_tail_area_p,paired_t_ci95_low,paired_t_ci95_high,paired_t_p,paired_sign_p,replications
regret_cny_per_month,actual_maximum_demand,TAIL-minus-EVENT-EMP,True,-642.9571236893482,0.0,0.0,0.0,0.182,0.686,0.132,-1218.5484846891668,-200.2235718399758,0.0027994401119776045,-1152.2004557513637,-133.7137916273328,0.013391359318561447,0.005603055012178766,1000
regret_cny_per_month,actual_maximum_demand,TAIL-minus-GEV,False,-1345.6446355501748,0.0,0.0,0.0,0.214,0.628,0.158,-2028.8013668522772,-730.1633708271879,0.0003999200159968006,-1996.7258259808864,-694.5634451194633,5.3867434147849796e-05,0.004287337831078581,1000
regret_cny_per_month,actual_maximum_demand,TAIL-minus-KDE,False,-470.9962423185858,0.0,0.0,0.0,0.139,0.6,0.261,-953.7628852983937,-58.049421995900815,0.022395520895820836,-921.6299578686742,-20.362526768497446,0.040526113503785134,1.0846402527089687e-09,1000
regret_cny_per_month,actual_maximum_demand,TAIL-minus-EMP,False,-1824.6652465996722,0.0,0.0,0.0,0.243,0.61,0.147,-2602.0437603804135,-1110.6245111852372,0.0003999200159968006,-2580.373315789111,-1068.9571774102333,2.4696640402046565e-06,1.3396894625953712e-06,1000
regret_cny_per_month,actual_maximum_demand,GEV-minus-KDE,True,874.648393231589,0.0,0.0,0.0,0.006,0.784,0.21,485.0105000604777,1369.0238223597335,0.0003999200159968006,422.2313362091249,1327.065450254053,0.0001573012687565628,2.570325514308585e-54,1000
regret_cny_per_month,actual_maximum_demand,GEV-minus-EMP,True,-479.0206110494972,0.0,0.0,0.0,0.08,0.898,0.022,-992.0076374828352,0.4162391036956503,0.05078984203159368,-978.815586265578,20.77436416658361,0.06029319161154197,6.423992661588653e-09,1000
regret_cny_per_month,capacity,TAIL-minus-EVENT-EMP,True,-1575.8873551933855,0.0,0.0,0.0,0.327,0.39,0.283,-3384.795423507537,204.9568437274893,0.08118376324735053,-3350.9258762136187,199.151165826848,0.08178544029230965,0.0815955076399718,1000
regret_cny_per_month,capacity,TAIL-minus-GEV,False,-2030.0832843114786,0.0,0.0,0.0,0.33,0.392,0.278,-4286.627172036157,282.18336111703087,0.08878224355128975,-4270.5501348226,210.3835661996427,0.0756957527045523,0.0385222285134833,1000
regret_cny_per_month,capacity,TAIL-minus-KDE,False,4730.640396398355,0.0,0.0,0.0,0.235,0.41,0.355,2621.9729071158954,6983.676846831794,0.0003999200159968006,2530.012601794732,6931.268191001978,2.68397090675136e-05,8.864306527646893e-07,1000
regret_cny_per_month,capacity,TAIL-minus-EMP,False,-4607.153569131537,0.0,0.0,0.0,0.376,0.386,0.238,-7042.889473115446,-2260.4705060799065,0.0007998400319936012,-6962.215658115238,-2252.0914801478357,0.0001313668968961155,2.8328199816694786e-08,1000
regret_cny_per_month,capacity,GEV-minus-KDE,True,6760.723680709833,0.0,0.0,0.0,0.193,0.488,0.319,4680.303906582371,9011.16546936663,0.0003999200159968006,4628.4016235030285,8893.045737916638,7.219215681831626e-10,2.833889816731684e-08,1000
regret_cny_per_month,capacity,GEV-minus-EMP,True,-2577.0702848200585,0.0,0.0,0.0,0.347,0.465,0.188,-3640.306840595221,-1596.1690018622087,0.0003999200159968006,-3607.7063088224654,-1546.4342608176516,1.0805808960752578e-06,5.938394190914717e-12,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-EVENT-EMP,True,-2341.4763130202896,0.0,0.0,0.0,0.421,0.242,0.337,-3138.910702202987,-1547.8058040546257,0.0003999200159968006,-3143.5246243947613,-1539.4280016458179,1.3379008154566044e-08,0.002549632746486958,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-GEV,False,-3820.600929139253,0.0,0.0,0.0,0.447,0.241,0.312,-4709.385918011532,-2967.1085341362314,0.0003999200159968006,-4689.985974622821,-2951.2158836556846,2.5120367379392406e-17,1.0818737226989984e-06,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-KDE,False,-7750.474614582133,0.0,-811.2951052083324,0.0,0.483,0.286,0.231,-8748.518564625772,-6724.579940845197,0.0003999200159968006,-8755.945258927926,-6745.003970236339,1.0658540490632637e-46,2.231417368451514e-21,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-EMP,False,-6257.566700757122,0.0,-607.1742386377082,0.0,0.487,0.222,0.291,-7388.644041701686,-5198.517096427197,0.0003999200159968006,-7357.380838795811,-5157.752562718433,2.3292850429317365e-27,2.0984832485646353e-12,1000
regret_cny_per_month,contracted_maximum_demand,GEV-minus-KDE,True,-3929.8736854428807,0.0,0.0,0.0,0.415,0.344,0.241,-4730.992637745184,-3145.9486835904004,0.0003999200159968006,-4733.14554137925,-3126.6018295065114,6.168408784669597e-21,1.0921797831296303e-11,1000
regret_cny_per_month,contracted_maximum_demand,GEV-minus-EMP,True,-2436.965771617869,0.0,0.0,0.0,0.379,0.334,0.287,-3116.994771255582,-1760.7444244998185,0.0003999200159968006,-3113.977591829435,-1759.953951406303,3.037047963475877e-12,0.0004135891596703826,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-EVENT-EMP,True,-0.0001204835251062418,0.0,0.0,0.0,0.182,0.686,0.132,-0.00022122100873144532,-3.692486647405067e-05,0.004399120175964807,-0.00021591046653527104,-2.5056583677212572e-05,0.01339135931856214,0.005603055012178766,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-GEV,False,-0.000252159908114999,0.0,0.0,0.0,0.214,0.628,0.158,-0.00037892067081767613,-0.0001411529551714249,0.0003999200159968006,-0.00037416579943064194,-0.00013015401679935607,5.386743414785109e-05,0.004287337831078581,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-KDE,False,-8.825983179207808e-05,0.0,0.0,0.0,0.139,0.6,0.261,-0.00017777829129857445,-9.064085762973693e-06,0.028394321135772844,-0.00017270393635328854,-3.81572723086761e-06,0.04052611350377462,1.0846402527089687e-09,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-EMP,False,-0.0003419234237389033,0.0,0.0,0.0,0.243,0.61,0.147,-0.000494298472321283,-0.00021281764718167822,0.0003999200159968006,-0.0004835353116432171,-0.00020031153583458945,2.469664040204846e-06,1.3396894625953712e-06,1000
regret_over_oracle_value,actual_maximum_demand,GEV-minus-KDE,True,0.00016390007632292094,0.0,0.0,0.0,0.006,0.784,0.21,8.989633165489916e-05,0.0002550400513136763,0.0003999200159968006,7.912179198650682e-05,0.0002486783606593351,0.0001573012687566346,2.570325514308585e-54,1000
regret_over_oracle_value,actual_maximum_demand,GEV-minus-EMP,True,-8.976351562390425e-05,0.0,0.0,0.0,0.08,0.898,0.022,-0.00018684589815113812,9.160061903452374e-07,0.05358928214357129,-0.00018341993255399376,3.892901306185254e-06,0.06029319161154443,6.423992661588653e-09,1000
regret_over_oracle_value,capacity,TAIL-minus-EVENT-EMP,True,-0.0003181162368585318,0.0,0.0,0.0,0.327,0.39,0.283,-0.0006890737136724385,3.9731762220656224e-05,0.08358328334333133,-0.0006886887563490257,5.2456282631962146e-05,0.09238530600263742,0.0815955076399718,1000
regret_over_oracle_value,capacity,TAIL-minus-GEV,False,-0.0004084056372095477,0.0,0.0,0.0,0.33,0.392,0.278,-0.0008798394443594546,3.90461634461481e-05,0.07958408318336332,-0.0008753347964827363,5.852352206364085e-05,0.0864011672803243,0.0385222285134833,1000
regret_over_oracle_value,capacity,TAIL-minus-KDE,False,0.0010015955257838267,0.0,0.0,0.0,0.235,0.41,0.355,0.0005808590852421547,0.0014679153573974686,0.0003999200159968006,0.000544328151101953,0.0014588629004657005,1.88957473616468e-05,8.864306527646893e-07,1000
regret_over_oracle_value,capacity,TAIL-minus-EMP,False,-0.000920592621875666,0.0,0.0,0.0,0.376,0.386,0.238,-0.0014180749632009496,-0.0004275516144340647,0.0007998400319936012,-0.0014110121362451615,-0.00043017310750617047,0.00024228383773260097,2.8328199816694786e-08,1000
regret_over_oracle_value,capacity,GEV-minus-KDE,True,0.0014100011629933741,0.0,0.0,0.0,0.193,0.488,0.319,0.00097879281399207,0.001858345595636305,0.0003999200159968006,0.0009646506756215483,0.0018553516503652,7.625009240692913e-10,2.833889816731684e-08,1000
regret_over_oracle_value,capacity,GEV-minus-EMP,True,-0.0005121869846661183,0.0,0.0,0.0,0.347,0.465,0.188,-0.0007350255484408634,-0.0003096542567087428,0.0003999200159968006,-0.0007262975624961619,-0.00029807640683607463,3.049026971790432e-06,5.938394190914717e-12,1000
