physical_scenario_id,training_months,utilization_target,mean,sd,n,method
T4_HIGH_AMP,12,0.5,0.957014372624554,1.7758670843855038,200,GATE
T4_HIGH_AMP,12,0.5,1.1598040748060034,1.864716138557158,200,EMP
T4_HIGH_AMP,12,0.5,0.8550749839206307,1.7262572903303024,200,KDE
T4_HIGH_AMP,12,0.5,1.958672361308108,3.0340813337600334,200,TAIL
T4_HIGH_AMP,12,0.55,1.0527158098870093,1.9534537928240536,200,GATE
T4_HIGH_AMP,12,0.55,1.2757844822866036,2.051187752412873,200,EMP
T4_HIGH_AMP,12,0.55,0.9405824823126936,1.8988830193633324,200,KDE
T4_HIGH_AMP,12,0.55,2.1545395974389185,3.337489467136036,200,TAIL
T4_HIGH_AMP,12,0.65,2.105624212324544,5.879029809521389,200,GATE
T4_HIGH_AMP,12,0.65,2.0245410004577344,5.660311115005019,200,EMP
T4_HIGH_AMP,12,0.65,0.956658367324028,3.9803888355934607,200,KDE
T4_HIGH_AMP,12,0.65,2.2023416069240294,6.002040875456389,200,TAIL
T4_HIGH_AMP,12,0.75,0.0,0.0,200,GATE
T4_HIGH_AMP,12,0.75,0.0,0.0,200,EMP
T4_HIGH_AMP,12,0.75,0.0,0.0,200,KDE
T4_HIGH_AMP,12,0.75,0.0,0.0,200,TAIL
T4_HIGH_AMP,24,0.5,0.4193082555396868,0.5349162142657027,200,GATE
T4_HIGH_AMP,24,0.5,0.5334577831453724,0.6976459063626848,200,EMP
T4_HIGH_AMP,24,0.5,0.3689583380480934,0.4764956473337394,200,KDE
T4_HIGH_AMP,24,0.5,1.4161289213327648,2.1413368464093394,200,TAIL
T4_HIGH_AMP,24,0.55,0.4612390810936555,0.5884078356922731,200,GATE
T4_HIGH_AMP,24,0.55,0.5868035614599095,0.7674104969989533,200,EMP
T4_HIGH_AMP,24,0.55,0.4058541718529028,0.5241452120671133,200,KDE
T4_HIGH_AMP,24,0.55,1.557741813466041,2.3554705310502726,200,TAIL
T4_HIGH_AMP,24,0.65,1.2375262651284178,4.527988518279055,200,GATE
T4_HIGH_AMP,24,0.65,0.9460489224913732,3.939843916231941,200,EMP
T4_HIGH_AMP,24,0.65,0.088192757149102,1.247233932633368,200,KDE
T4_HIGH_AMP,24,0.65,1.2375262651284178,4.527988518279055,200,TAIL
T4_HIGH_AMP,24,0.75,0.0,0.0,200,GATE
T4_HIGH_AMP,24,0.75,0.0,0.0,200,EMP
T4_HIGH_AMP,24,0.75,0.0,0.0,200,KDE
T4_HIGH_AMP,24,0.75,0.0,0.0,200,TAIL
T5_HIGH_FREQ,12,0.5,0.976048121013166,1.20510966037495,200,GATE
T5_HIGH_FREQ,12,0.5,1.0514747918030851,1.396853318688294,200,EMP
T5_HIGH_FREQ,12,0.5,0.7870701228670424,1.024830219195617,200,KDE
T5_HIGH_FREQ,12,0.5,1.9541915717660152,2.681330035015349,200,TAIL
T5_HIGH_FREQ,12,0.55,1.073652933114483,1.3256206264124448,200,GATE
T5_HIGH_FREQ,12,0.55,1.1566222709833938,1.536538650557124,200,EMP
T5_HIGH_FREQ,12,0.55,0.8657771351537467,1.1273132411151787,200,KDE
T5_HIGH_FREQ,12,0.55,2.149610728942617,2.949463038516883,200,TAIL
T5_HIGH_FREQ,12,0.65,4.399411631903554,8.004190446142342,200,GATE
T5_HIGH_FREQ,12,0.65,3.0439198912307432,6.790681760822646,200,EMP
T5_HIGH_FREQ,12,0.65,1.6888089032110236,5.415943494672716,200,KDE
T5_HIGH_FREQ,12,0.65,4.195635752958533,7.843037374413393,200,TAIL
T5_HIGH_FREQ,12,0.75,0.0,0.0,200,GATE
T5_HIGH_FREQ,12,0.75,0.0,0.0,200,EMP
T5_HIGH_FREQ,12,0.75,0.0,0.0,200,KDE
T5_HIGH_FREQ,12,0.75,0.0,0.0,200,TAIL
T5_HIGH_FREQ,24,0.5,0.4171641999752411,0.5592168277426187,200,GATE
T5_HIGH_FREQ,24,0.5,0.60019269207782,0.7683689784888275,200,EMP
T5_HIGH_FREQ,24,0.5,0.4467924371402816,0.6320371180591593,200,KDE
T5_HIGH_FREQ,24,0.5,1.340679499194413,2.136757987449043,200,TAIL
T5_HIGH_FREQ,24,0.55,0.4588806199727653,0.6151385105168806,200,GATE
T5_HIGH_FREQ,24,0.55,0.6602119612856021,0.8452058763377103,200,EMP
T5_HIGH_FREQ,24,0.55,0.4914716808543098,0.6952408298650756,200,KDE
T5_HIGH_FREQ,24,0.55,1.4747474491138548,2.350433786193948,200,TAIL
T5_HIGH_FREQ,24,0.65,1.1549992299329912,4.397558039156006,200,GATE
T5_HIGH_FREQ,24,0.65,0.6385998916548807,3.386343858905064,200,EMP
T5_HIGH_FREQ,24,0.65,0.460805744393587,2.898490977292478,200,KDE
T5_HIGH_FREQ,24,0.65,1.1549992299329912,4.397558039156006,200,TAIL
T5_HIGH_FREQ,24,0.75,0.0,0.0,200,GATE
T5_HIGH_FREQ,24,0.75,0.0,0.0,200,EMP
T5_HIGH_FREQ,24,0.75,0.0,0.0,200,KDE
T5_HIGH_FREQ,24,0.75,0.0,0.0,200,TAIL
T6_CLUSTERED,12,0.5,0.8601392565354754,1.3112525184277648,200,GATE
T6_CLUSTERED,12,0.5,1.2231744096055062,1.5487975786254788,200,EMP
T6_CLUSTERED,12,0.5,0.8406303629111853,1.274502814601476,200,KDE
T6_CLUSTERED,12,0.5,1.659877972342652,2.3487444061958733,200,TAIL
T6_CLUSTERED,12,0.5,1.6846561976508303,2.426828742445064,200,TAIL-NODECLUSTER
T6_CLUSTERED,12,0.55,0.9461531821890232,1.442377770270542,200,GATE
T6_CLUSTERED,12,0.55,1.3454918505660571,1.7036773364880275,200,EMP
T6_CLUSTERED,12,0.55,0.9246933992023042,1.4019530960616249,200,KDE
T6_CLUSTERED,12,0.55,1.8258657695769176,2.5836188468154617,200,TAIL
T6_CLUSTERED,12,0.55,1.8531218174159143,2.669511616689572,200,TAIL-NODECLUSTER
T6_CLUSTERED,12,0.65,2.557155814860765,6.377775776712369,200,GATE
