replication_id,oracle_region,baseline_method,tail_minus_baseline_regret_cny_per_month
0,Actual-demand,KDE,2243.839408546065
1,Actual-demand,KDE,0.0
2,Actual-demand,KDE,0.0
3,Actual-demand,KDE,0.0
4,Actual-demand,KDE,0.0
5,Actual-demand,KDE,0.0
6,Actual-demand,KDE,14355.614962200323
7,Actual-demand,KDE,0.0
8,Actual-demand,KDE,2243.839408546065
9,Actual-demand,KDE,0.0
10,Actual-demand,KDE,0.0
11,Actual-demand,KDE,-12111.775553654255
12,Actual-demand,KDE,2243.839408546065
13,Actual-demand,KDE,0.0
14,Actual-demand,KDE,2243.839408546065
15,Actual-demand,KDE,-14355.614962200323
16,Actual-demand,KDE,-12111.775553654255
17,Actual-demand,KDE,0.0
18,Actual-demand,KDE,0.0
19,Actual-demand,KDE,0.0
20,Actual-demand,KDE,0.0
21,Actual-demand,KDE,0.0
22,Actual-demand,KDE,-2243.839408546065
23,Actual-demand,KDE,0.0
24,Actual-demand,KDE,0.0
25,Actual-demand,KDE,-12111.775553654255
26,Actual-demand,KDE,2243.839408546065
27,Actual-demand,KDE,0.0
28,Actual-demand,KDE,0.0
29,Actual-demand,KDE,0.0
30,Actual-demand,KDE,0.0
31,Actual-demand,KDE,0.0
32,Actual-demand,KDE,0.0
33,Actual-demand,KDE,0.0
34,Actual-demand,KDE,0.0
35,Actual-demand,KDE,2243.839408546066
36,Actual-demand,KDE,0.0
37,Actual-demand,KDE,-14355.614962200323
38,Actual-demand,KDE,14355.614962200323
39,Actual-demand,KDE,0.0
40,Actual-demand,KDE,0.0
41,Actual-demand,KDE,0.0
42,Actual-demand,KDE,-2243.839408546065
43,Actual-demand,KDE,0.0
44,Actual-demand,KDE,0.0
45,Actual-demand,KDE,0.0
46,Actual-demand,KDE,2243.839408546066
47,Actual-demand,KDE,0.0
48,Actual-demand,KDE,-114277.00078926142
49,Actual-demand,KDE,2243.839408546065
50,Actual-demand,KDE,0.0
51,Actual-demand,KDE,0.0
52,Actual-demand,KDE,-2243.839408546065
53,Actual-demand,KDE,-14355.614962200323
54,Actual-demand,KDE,16599.45437074639
55,Actual-demand,KDE,0.0
56,Actual-demand,KDE,0.0
57,Actual-demand,KDE,-14355.614962200323
58,Actual-demand,KDE,0.0
59,Actual-demand,KDE,0.0
60,Actual-demand,KDE,0.0
61,Actual-demand,KDE,0.0
62,Actual-demand,KDE,0.0
63,Actual-demand,KDE,0.0
64,Actual-demand,KDE,14355.614962200323
65,Actual-demand,KDE,2243.839408546065
66,Actual-demand,KDE,0.0
67,Actual-demand,KDE,2243.839408546066
68,Actual-demand,KDE,-2243.839408546066
69,Actual-demand,KDE,0.0
70,Actual-demand,KDE,0.0
71,Actual-demand,KDE,0.0
72,Actual-demand,KDE,0.0
73,Actual-demand,KDE,0.0
74,Actual-demand,KDE,0.0
75,Actual-demand,KDE,0.0
76,Actual-demand,KDE,0.0
77,Actual-demand,KDE,0.0
78,Actual-demand,KDE,2243.839408546065
79,Actual-demand,KDE,14355.614962200323
80,Actual-demand,KDE,-2243.839408546065
81,Actual-demand,KDE,-12111.775553654255
82,Actual-demand,KDE,2243.839408546065
83,Actual-demand,KDE,-12111.775553654255
84,Actual-demand,KDE,-12111.775553654255
85,Actual-demand,KDE,16599.45437074639
86,Actual-demand,KDE,-14355.614962200323
87,Actual-demand,KDE,0.0
88,Actual-demand,KDE,0.0
89,Actual-demand,KDE,0.0
90,Actual-demand,KDE,0.0
91,Actual-demand,KDE,0.0
92,Actual-demand,KDE,2243.839408546065
93,Actual-demand,KDE,-2243.839408546065
94,Actual-demand,KDE,14355.614962200323
95,Actual-demand,KDE,0.0
96,Actual-demand,KDE,0.0
97,Actual-demand,KDE,0.0
98,Actual-demand,KDE,0.0
99,Actual-demand,KDE,2243.839408546065
100,Actual-demand,KDE,0.0
101,Actual-demand,KDE,-2243.839408546065
102,Actual-demand,KDE,2243.839408546065
103,Actual-demand,KDE,0.0
104,Actual-demand,KDE,0.0
105,Actual-demand,KDE,0.0
106,Actual-demand,KDE,0.0
107,Actual-demand,KDE,0.0
108,Actual-demand,KDE,-16599.45437074639
109,Actual-demand,KDE,2243.839408546065
110,Actual-demand,KDE,-14355.614962200323
111,Actual-demand,KDE,0.0
112,Actual-demand,KDE,16599.45437074639
113,Actual-demand,KDE,-14355.614962200323
114,Actual-demand,KDE,-134066.35080064242
115,Actual-demand,KDE,0.0
116,Actual-demand,KDE,14355.614962200323
117,Actual-demand,KDE,0.0
118,Actual-demand,KDE,2243.839408546066
119,Actual-demand,KDE,0.0
120,Actual-demand,KDE,0.0
121,Actual-demand,KDE,0.0
122,Actual-demand,KDE,0.0
123,Actual-demand,KDE,0.0
124,Actual-demand,KDE,0.0
125,Actual-demand,KDE,14355.614962200323
126,Actual-demand,KDE,0.0
127,Actual-demand,KDE,2243.839408546066
128,Actual-demand,KDE,0.0
129,Actual-demand,KDE,-12111.775553654255
130,Actual-demand,KDE,0.0
131,Actual-demand,KDE,0.0
132,Actual-demand,KDE,-14355.614962200323
133,Actual-demand,KDE,2243.839408546065
134,Actual-demand,KDE,0.0
135,Actual-demand,KDE,0.0
136,Actual-demand,KDE,0.0
137,Actual-demand,KDE,2243.839408546065
138,Actual-demand,KDE,0.0
139,Actual-demand,KDE,2243.839408546065
140,Actual-demand,KDE,0.0
141,Actual-demand,KDE,-2243.839408546065
142,Actual-demand,KDE,0.0
143,Actual-demand,KDE,16599.45437074639
144,Actual-demand,KDE,0.0
145,Actual-demand,KDE,14355.614962200323
146,Actual-demand,KDE,0.0
147,Actual-demand,KDE,0.0
148,Actual-demand,KDE,-2243.839408546066
149,Actual-demand,KDE,0.0
150,Actual-demand,KDE,0.0
151,Actual-demand,KDE,0.0
152,Actual-demand,KDE,0.0
153,Actual-demand,KDE,0.0
154,Actual-demand,KDE,0.0
155,Actual-demand,KDE,-2243.839408546066
156,Actual-demand,KDE,2243.839408546066
157,Actual-demand,KDE,0.0
158,Actual-demand,KDE,2243.839408546065
