replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
0,12,-0.2035692011541776,0.2605197050642286,-0.2767339025386887
0,24,-0.0907097034247237,0.0019722289136592,-0.1643770752382
0,60,-0.0973601171781448,0.0609868791970629,-0.1792856337317275
1,12,-0.0713113894876495,0.0274400829742554,-0.1660803532760951
1,24,-0.1246032959965391,0.0594321257904489,-0.1817104814203556
1,60,-0.0595230793225723,0.036849895318364,-0.1259726260186347
2,12,-0.1621658427173586,0.0196223419909446,-0.2839541973781755
2,24,-0.037602307276728,-0.0562551796748085,-0.1214662211057396
2,60,-0.0819668476790176,0.036551220078532,-0.1381744533403117
3,12,-0.0281743406252888,-0.1553510344396881,-0.151155510988028
3,24,-0.031501745622814,-0.1259915677097641,-0.1441314271752662
3,60,0.0332193315609276,-0.0552223483750071,0.0853170678881203
4,12,-0.0368124481348922,0.0045346716059933,-0.0868564258430032
4,24,-0.0043476706341213,-0.0010619423219464,0.00702350587442
4,60,-0.0519018375965861,0.0394887530188006,-0.0907067596007499
5,12,0.0406898322187221,-0.0834664901580011,0.0499674419184747
5,24,-0.0344135354483769,0.072263339878206,-0.0433577359184993
5,60,0.0023085067462126,0.0258396516422148,0.0567521410607322
6,12,0.0629104242596236,-0.0265450025129667,0.2705688712851137
6,24,-0.0053046200801257,0.0765136605982533,0.0676183859090598
6,60,-0.0019622857111832,0.0374084157255748,-0.0099842097852326
7,12,-0.0647327424264857,0.1262509153605788,-0.1031466900755823
7,24,-0.0067983215425077,0.0568776969866013,-0.0155559467099315
7,60,-0.0066989905408596,0.0230528530739484,0.007189405840456
8,12,-0.1337552160357108,0.2906759308065735,-0.1468511406623682
8,24,-0.0426823982589265,0.1519068720351334,0.0099583070995794
8,60,-0.0417757016865691,0.0836479159993636,-0.0493702280349618
9,12,0.0461600558341352,-0.0284454569747196,0.1924724205982715
9,24,-0.0966040193906519,0.2733639840801511,-0.0633009123741979
9,60,-0.0404499386447114,0.109863216647318,0.0101070142784578
10,12,-0.0665200513850727,-0.0244886192885382,-0.1685651684515105
10,24,-0.0468219941863913,0.0208219939623872,-0.084177956886859
10,60,-0.0226286685424637,0.0229899402688823,-0.0717466178840498
11,12,0.0972391305517728,-0.0534906169684775,0.3283837967714659
11,24,0.0588261228565756,0.030826955725353,0.2625554235270332
11,60,0.0683955041012619,0.0082116994368977,0.3172549180088289
12,12,-0.0240422583089203,-0.0640706639641518,-0.041862256258458
12,24,0.0571900110998556,-0.1077740207825024,0.1206948723455439
12,60,0.0320560754727449,0.0037385366554389,0.0459852798613553
13,12,0.0108523138545404,0.0303204552049863,0.0257346399959932
13,24,-0.0128562180299715,0.0806538851588834,0.0092538998410785
13,60,0.0093494471505452,-0.0221319952892767,-0.0122383799394379
14,12,0.0619566542157151,-0.0671062635368198,0.1116079821902174
14,24,0.0679017525435464,-0.0569721270009731,0.109207511488324
14,60,0.0291794515517331,0.0140270998177368,0.1344021715165483
15,12,-0.0604192639596554,0.0243618211272657,-0.1415469343870922
15,24,0.0108266925875878,-0.1104871831699105,-0.034130045757482
15,60,0.0627902724739948,-0.0939671421999764,0.1179885295666898
16,12,-0.1248581290176772,0.2425940238802603,-0.1750618301252969
