replication_id,history,cap,baseline,delta
0,12,BINDING,KDE-MC-JOINT,0.0
0,12,BINDING,EMP-JOINT,0.0
0,12,DISTANT,KDE-MC-JOINT,0.0
0,12,DISTANT,EMP-JOINT,0.0
0,12,Q999,KDE-MC-JOINT,0.0
0,12,Q999,EMP-JOINT,0.0
0,12,UNCAPPED,KDE-MC-JOINT,0.0
0,12,UNCAPPED,EMP-JOINT,0.0
0,24,BINDING,KDE-MC-JOINT,0.0
0,24,BINDING,EMP-JOINT,0.0
0,24,DISTANT,KDE-MC-JOINT,0.0
0,24,DISTANT,EMP-JOINT,0.0
0,24,Q999,KDE-MC-JOINT,0.0
0,24,Q999,EMP-JOINT,0.0
0,24,UNCAPPED,KDE-MC-JOINT,0.0
0,24,UNCAPPED,EMP-JOINT,0.0
1,12,BINDING,KDE-MC-JOINT,0.0
1,12,BINDING,EMP-JOINT,0.0
1,12,DISTANT,KDE-MC-JOINT,0.0
1,12,DISTANT,EMP-JOINT,0.0
1,12,Q999,KDE-MC-JOINT,0.0
1,12,Q999,EMP-JOINT,0.0
1,12,UNCAPPED,KDE-MC-JOINT,0.0
1,12,UNCAPPED,EMP-JOINT,0.0
1,24,BINDING,KDE-MC-JOINT,0.0
1,24,BINDING,EMP-JOINT,0.0
1,24,DISTANT,KDE-MC-JOINT,0.0
1,24,DISTANT,EMP-JOINT,0.0
1,24,Q999,KDE-MC-JOINT,0.0
1,24,Q999,EMP-JOINT,0.0
1,24,UNCAPPED,KDE-MC-JOINT,0.0
1,24,UNCAPPED,EMP-JOINT,0.0
2,12,BINDING,KDE-MC-JOINT,7.473948835020634
2,12,BINDING,EMP-JOINT,7.473948835020634
2,12,DISTANT,KDE-MC-JOINT,7.952557801085098
2,12,DISTANT,EMP-JOINT,7.952557801085098
2,12,Q999,KDE-MC-JOINT,0.0
2,12,Q999,EMP-JOINT,0.0
2,12,UNCAPPED,KDE-MC-JOINT,7.999999999999934
2,12,UNCAPPED,EMP-JOINT,0.0
2,24,BINDING,KDE-MC-JOINT,0.0
2,24,BINDING,EMP-JOINT,0.0
2,24,DISTANT,KDE-MC-JOINT,0.0
2,24,DISTANT,EMP-JOINT,0.0
2,24,Q999,KDE-MC-JOINT,0.0
2,24,Q999,EMP-JOINT,0.0
2,24,UNCAPPED,KDE-MC-JOINT,0.0
2,24,UNCAPPED,EMP-JOINT,0.0
3,12,BINDING,KDE-MC-JOINT,0.0
3,12,BINDING,EMP-JOINT,0.0
3,12,DISTANT,KDE-MC-JOINT,0.0
3,12,DISTANT,EMP-JOINT,0.0
3,12,Q999,KDE-MC-JOINT,0.0
3,12,Q999,EMP-JOINT,0.0
3,12,UNCAPPED,KDE-MC-JOINT,0.0
3,12,UNCAPPED,EMP-JOINT,0.0
3,24,BINDING,KDE-MC-JOINT,0.0
3,24,BINDING,EMP-JOINT,0.0
3,24,DISTANT,KDE-MC-JOINT,0.0
3,24,DISTANT,EMP-JOINT,0.0
3,24,Q999,KDE-MC-JOINT,0.0
3,24,Q999,EMP-JOINT,0.0
3,24,UNCAPPED,KDE-MC-JOINT,0.0
3,24,UNCAPPED,EMP-JOINT,0.0
4,12,BINDING,KDE-MC-JOINT,0.0
4,12,BINDING,EMP-JOINT,0.0
4,12,DISTANT,KDE-MC-JOINT,-7.952557801085098
4,12,DISTANT,EMP-JOINT,-7.952557801085098
4,12,Q999,KDE-MC-JOINT,0.0
4,12,Q999,EMP-JOINT,0.0
4,12,UNCAPPED,KDE-MC-JOINT,-7.999999999999934
4,12,UNCAPPED,EMP-JOINT,-7.999999999999934
4,24,BINDING,KDE-MC-JOINT,-7.473948835020634
4,24,BINDING,EMP-JOINT,-7.473948835020634
4,24,DISTANT,KDE-MC-JOINT,-10.572523553195
4,24,DISTANT,EMP-JOINT,-10.572523553195
4,24,Q999,KDE-MC-JOINT,-7.868878576806834
4,24,Q999,EMP-JOINT,-7.868878576806834
4,24,UNCAPPED,KDE-MC-JOINT,-10.666666666666636
4,24,UNCAPPED,EMP-JOINT,-10.666666666666636
5,12,BINDING,KDE-MC-JOINT,0.0
5,12,BINDING,EMP-JOINT,0.0
5,12,DISTANT,KDE-MC-JOINT,-2.7126262968654
5,12,DISTANT,EMP-JOINT,-2.7126262968654
5,12,Q999,KDE-MC-JOINT,-2.7936905453849663
5,12,Q999,EMP-JOINT,-2.7936905453849663
5,12,UNCAPPED,KDE-MC-JOINT,0.0
5,12,UNCAPPED,EMP-JOINT,0.0
5,24,BINDING,KDE-MC-JOINT,-2.1488350511402
