replication_id,physical_scenario_id,training_months,method_id,regret_scaled
0,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.7345211671354364
0,T4_HIGH_AMP,12,EMP-JOINT,0.05644810484908245
0,T4_HIGH_AMP,12,KDE-MC-JOINT,0.004548648062676755
0,T4_HIGH_AMP,12,TAIL-JOINT,0.7345211671354364
0,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.004129417953768318
0,T4_HIGH_AMP,24,EMP-JOINT,0.06974834604748545
0,T4_HIGH_AMP,24,KDE-MC-JOINT,0.008604664645982096
0,T4_HIGH_AMP,24,TAIL-JOINT,0.004129417953768318
0,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.1546205497463204
0,T5_HIGH_FREQ,12,EMP-JOINT,0.35780454354904784
0,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.1546205497463204
0,T5_HIGH_FREQ,12,TAIL-JOINT,3.628200260678532
0,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.42784754629885646
0,T5_HIGH_FREQ,24,EMP-JOINT,0.7971092404357645
0,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.42784754629885646
0,T5_HIGH_FREQ,24,TAIL-JOINT,3.3983609765053746
0,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.004820575866648634
0,T6_CLUSTERED,12,EMP-JOINT,0.4128628385602421
0,T6_CLUSTERED,12,KDE-MC-JOINT,0.26677420788626505
0,T6_CLUSTERED,12,TAIL-JOINT,0.004820575866648634
0,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.004168329937702293
0,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.018554385675880365
0,T6_CLUSTERED,24,EMP-JOINT,0.4128628385602421
0,T6_CLUSTERED,24,KDE-MC-JOINT,0.46217229626669565
0,T6_CLUSTERED,24,TAIL-JOINT,0.018554385675880365
0,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.011251508071593253
1,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.31615612006157434
1,T4_HIGH_AMP,12,EMP-JOINT,0.20040032589772994
1,T4_HIGH_AMP,12,KDE-MC-JOINT,2.021194701474031e-06
1,T4_HIGH_AMP,12,TAIL-JOINT,0.31615612006157434
1,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.17367960990208745
1,T4_HIGH_AMP,24,EMP-JOINT,0.18499139533478604
1,T4_HIGH_AMP,24,KDE-MC-JOINT,0.06741110219331935
1,T4_HIGH_AMP,24,TAIL-JOINT,0.17367960990208745
1,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.09973135136702435
1,T5_HIGH_FREQ,12,EMP-JOINT,0.030003963042206556
1,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.09973135136702435
1,T5_HIGH_FREQ,12,TAIL-JOINT,0.7283609156989319
1,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.2237972106558227
